,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.345,0.066,0.076,0.149,0.16,0.058,0.118,0.058,0.062,0.064,0.061,0.225,0.758,0.534,0.308,0.653,0.404,0.173,0.424,0.228,0.127,0.237,0.818,0.47,0.408,0.659,0.623,0.557,0.477,0.363,0.567,0.572,0.584,0.404,0.372,0.388,0.639,0.548,0.549
1,0.343,0.078,0.077,0.16,0.175,0.066,0.102,0.059,0.069,0.073,0.076,0.192,0.739,0.547,0.306,0.674,0.496,0.186,0.478,0.241,0.132,0.266,0.812,0.411,0.389,0.769,0.542,0.548,0.306,0.395,0.602,0.583,0.595,0.437,0.38,0.395,0.699,0.635,0.636
2,0.324,0.066,0.073,0.139,0.159,0.063,0.113,0.066,0.053,0.061,0.058,0.268,0.785,0.517,0.306,0.62,0.387,0.153,0.395,0.212,0.113,0.212,0.834,0.499,0.387,0.719,0.632,0.533,0.384,0.342,0.59,0.578,0.587,0.414,0.37,0.388,0.651,0.574,0.578
3,0.347,0.064,0.075,0.143,0.16,0.065,0.13,0.067,0.06,0.069,0.067,0.233,0.772,0.539,0.323,0.635,0.409,0.163,0.421,0.217,0.107,0.223,0.849,0.472,0.387,0.724,0.589,0.493,0.419,0.351,0.573,0.565,0.575,0.416,0.363,0.379,0.658,0.6,0.603
4,0.354,0.065,0.069,0.149,0.163,0.06,0.125,0.057,0.078,0.063,0.055,0.194,0.747,0.554,0.325,0.664,0.455,0.173,0.439,0.23,0.138,0.297,0.834,0.437,0.394,0.717,0.54,0.6,0.599,0.447,0.665,0.614,0.626,0.36,0.33,0.347,0.577,0.51,0.511
5,0.34,0.067,0.082,0.13,0.152,0.058,0.111,0.058,0.069,0.062,0.042,0.22,0.748,0.528,0.299,0.663,0.395,0.167,0.424,0.231,0.138,0.269,0.796,0.478,0.394,0.713,0.626,0.597,0.53,0.406,0.563,0.59,0.601,0.356,0.371,0.39,0.657,0.582,0.585
6,0.339,0.042,0.042,0.149,0.165,0.082,0.133,0.052,0.063,0.071,0.071,0.214,0.765,0.552,0.346,0.644,0.426,0.161,0.39,0.208,0.116,0.23,0.857,0.5,0.413,0.627,0.416,0.558,0.546,0.357,0.692,0.602,0.601,0.342,0.284,0.296,0.449,0.389,0.391
7,0.339,0.051,0.064,0.137,0.16,0.056,0.094,0.068,0.064,0.08,0.063,0.218,0.758,0.543,0.299,0.653,0.392,0.181,0.437,0.246,0.132,0.252,0.832,0.523,0.414,0.646,0.491,0.537,0.237,0.386,0.783,0.691,0.694,0.43,0.4,0.416,0.558,0.504,0.506
8,0.334,0.04,0.048,0.18,0.198,0.067,0.112,0.07,0.059,0.054,0.055,0.239,0.773,0.534,0.313,0.635,0.424,0.16,0.4,0.222,0.125,0.208,0.841,0.474,0.4,0.681,0.404,0.563,0.422,0.328,0.906,0.759,0.759,0.407,0.363,0.378,0.516,0.473,0.473
9,0.341,0.078,0.069,0.156,0.172,0.058,0.117,0.065,0.052,0.081,0.079,0.226,0.769,0.543,0.319,0.64,0.451,0.176,0.437,0.224,0.113,0.213,0.848,0.448,0.403,0.778,0.536,0.504,0.307,0.333,0.609,0.598,0.61,0.463,0.399,0.415,0.547,0.51,0.512
10,0.354,0.07,0.076,0.147,0.157,0.064,0.119,0.066,0.066,0.065,0.063,0.188,0.743,0.555,0.32,0.67,0.437,0.172,0.436,0.235,0.12,0.246,0.828,0.462,0.394,0.727,0.584,0.511,0.425,0.367,0.629,0.593,0.605,0.41,0.374,0.391,0.673,0.592,0.594
11,0.345,0.069,0.071,0.138,0.158,0.061,0.107,0.059,0.08,0.061,0.054,0.193,0.744,0.551,0.313,0.668,0.445,0.176,0.442,0.238,0.135,0.283,0.825,0.465,0.398,0.693,0.574,0.567,0.469,0.424,0.629,0.602,0.612,0.377,0.345,0.361,0.676,0.593,0.596
12,0.319,0.064,0.068,0.138,0.155,0.062,0.108,0.059,0.055,0.059,0.058,0.29,0.788,0.502,0.291,0.616,0.393,0.153,0.397,0.211,0.117,0.233,0.815,0.466,0.385,0.739,0.584,0.555,0.423,0.378,0.595,0.566,0.58,0.405,0.355,0.369,0.506,0.461,0.466
13,0.325,0.049,0.053,0.15,0.162,0.068,0.11,0.064,0.063,0.069,0.063,0.248,0.775,0.528,0.314,0.632,0.408,0.156,0.384,0.215,0.112,0.232,0.835,0.5,0.406,0.679,0.481,0.521,0.342,0.367,0.777,0.695,0.699,0.4,0.355,0.372,0.595,0.521,0.525
