,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.358,0.065,0.055,0.141,0.138,0.056,0.129,0.062,0.058,0.066,0.07,0.212,0.765,0.558,0.329,0.644,0.442,0.176,0.411,0.229,0.117,0.203,0.866,0.452,0.428,0.688,0.496,0.511,0.525,0.315,0.842,0.714,0.714,0.515,0.436,0.456,0.769,0.732,0.734
1,0.38,0.047,0.046,0.155,0.156,0.061,0.139,0.061,0.053,0.075,0.077,0.176,0.756,0.58,0.339,0.655,0.45,0.188,0.425,0.242,0.119,0.221,0.885,0.444,0.442,0.633,0.391,0.492,0.555,0.337,0.899,0.798,0.798,0.493,0.422,0.437,0.666,0.635,0.641
2,0.354,0.057,0.062,0.132,0.138,0.073,0.134,0.054,0.05,0.066,0.072,0.214,0.772,0.558,0.34,0.635,0.441,0.16,0.382,0.22,0.103,0.199,0.879,0.469,0.419,0.65,0.572,0.468,0.611,0.313,0.815,0.674,0.677,0.524,0.43,0.448,0.715,0.665,0.671
3,0.386,0.062,0.063,0.147,0.155,0.065,0.159,0.061,0.058,0.063,0.07,0.162,0.754,0.592,0.366,0.657,0.464,0.175,0.421,0.227,0.115,0.199,0.901,0.446,0.416,0.686,0.521,0.507,0.754,0.303,0.798,0.669,0.675,0.505,0.434,0.453,0.692,0.66,0.667
4,0.355,0.05,0.055,0.154,0.166,0.066,0.146,0.058,0.054,0.066,0.069,0.243,0.783,0.54,0.332,0.622,0.449,0.162,0.382,0.209,0.108,0.202,0.868,0.412,0.424,0.642,0.505,0.517,0.666,0.325,0.82,0.689,0.693,0.487,0.417,0.433,0.631,0.588,0.596
5,0.357,0.06,0.068,0.12,0.134,0.056,0.129,0.058,0.062,0.066,0.066,0.255,0.796,0.543,0.316,0.606,0.403,0.171,0.401,0.229,0.124,0.228,0.896,0.464,0.426,0.655,0.571,0.541,0.584,0.376,0.766,0.657,0.663,0.495,0.413,0.431,0.576,0.548,0.556
6,0.382,0.064,0.059,0.134,0.139,0.05,0.122,0.067,0.064,0.072,0.075,0.168,0.721,0.556,0.296,0.693,0.427,0.202,0.463,0.259,0.14,0.251,0.802,0.407,0.436,0.658,0.462,0.541,0.434,0.362,0.851,0.734,0.733,0.505,0.431,0.447,0.787,0.748,0.751
7,0.352,0.067,0.075,0.143,0.141,0.078,0.129,0.058,0.046,0.077,0.079,0.179,0.751,0.575,0.354,0.66,0.47,0.168,0.399,0.223,0.092,0.193,0.871,0.479,0.421,0.631,0.67,0.413,0.464,0.292,0.717,0.623,0.623,0.512,0.429,0.448,0.651,0.603,0.611
8,0.28,0.059,0.072,0.191,0.203,0.062,0.046,0.041,0.039,0.068,0.057,0.334,0.764,0.43,0.199,0.645,0.401,0.159,0.399,0.234,0.113,0.182,0.667,0.384,0.398,0.667,0.618,0.483,0.074,0.282,0.818,0.696,0.699,0.63,0.644,0.65,0.761,0.709,0.711
9,0.36,0.055,0.058,0.131,0.134,0.06,0.152,0.064,0.054,0.067,0.071,0.227,0.781,0.558,0.35,0.624,0.436,0.163,0.383,0.209,0.104,0.189,0.894,0.456,0.426,0.669,0.518,0.498,0.638,0.303,0.8,0.662,0.662,0.501,0.41,0.432,0.686,0.635,0.642
