,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
252,0.331,0.058,0.062,0.118,0.128,0.053,0.098,0.059,0.062,0.082,0.08,0.279,0.766,0.488,0.255,0.643,0.406,0.188,0.437,0.233,0.147,0.23,0.712,0.387,0.43,0.612,0.522,0.631,0.171,0.358,0.542,0.569,0.573,0.373,0.373,0.372,0.501,0.488,0.484
253,0.426,0.042,0.042,0.117,0.115,0.096,0.236,0.039,0.076,0.097,0.107,0.198,0.815,0.618,0.428,0.58,0.408,0.135,0.311,0.191,0.135,0.247,1.0,0.475,0.434,0.622,0.5,0.707,1.0,0.426,0.99,0.981,0.98,0.662,0.753,0.763,0.961,0.94,0.945
254,0.363,0.064,0.07,0.132,0.148,0.064,0.119,0.068,0.066,0.096,0.096,0.216,0.757,0.542,0.298,0.653,0.415,0.194,0.441,0.244,0.166,0.267,0.779,0.434,0.44,0.588,0.588,0.68,0.175,0.409,0.517,0.545,0.551,0.292,0.325,0.343,0.416,0.407,0.403
255,0.333,0.065,0.058,0.159,0.149,0.047,0.081,0.049,0.066,0.079,0.079,0.227,0.727,0.501,0.247,0.686,0.465,0.192,0.444,0.254,0.155,0.243,0.685,0.361,0.432,0.646,0.496,0.61,0.137,0.354,0.623,0.633,0.637,0.416,0.429,0.428,0.531,0.507,0.503
256,0.342,0.074,0.076,0.119,0.131,0.049,0.089,0.057,0.058,0.084,0.084,0.238,0.729,0.491,0.239,0.685,0.447,0.204,0.479,0.253,0.159,0.238,0.673,0.336,0.426,0.667,0.551,0.628,0.131,0.347,0.512,0.564,0.568,0.418,0.413,0.413,0.448,0.446,0.44
257,0.385,0.06,0.058,0.144,0.134,0.047,0.12,0.07,0.081,0.095,0.097,0.186,0.727,0.542,0.277,0.686,0.426,0.209,0.491,0.265,0.174,0.282,0.741,0.369,0.426,0.651,0.434,0.657,0.184,0.411,0.648,0.681,0.682,0.301,0.355,0.376,0.688,0.659,0.659
258,0.36,0.059,0.068,0.115,0.126,0.062,0.14,0.06,0.06,0.091,0.083,0.289,0.798,0.509,0.29,0.603,0.362,0.172,0.388,0.22,0.145,0.221,0.792,0.417,0.443,0.576,0.641,0.659,0.306,0.367,0.493,0.546,0.551,0.251,0.311,0.328,0.459,0.478,0.472
259,0.389,0.062,0.065,0.158,0.167,0.066,0.129,0.067,0.072,0.094,0.096,0.196,0.764,0.569,0.309,0.645,0.416,0.198,0.444,0.261,0.163,0.267,0.827,0.435,0.446,0.591,0.543,0.625,0.22,0.414,0.546,0.561,0.566,0.29,0.314,0.33,0.479,0.456,0.454
260,0.376,0.063,0.064,0.157,0.167,0.064,0.12,0.065,0.073,0.095,0.097,0.198,0.763,0.565,0.309,0.647,0.421,0.201,0.449,0.256,0.173,0.268,0.819,0.449,0.448,0.592,0.534,0.676,0.191,0.414,0.559,0.568,0.573,0.306,0.326,0.343,0.479,0.454,0.452
261,0.364,0.044,0.05,0.122,0.14,0.053,0.111,0.072,0.072,0.088,0.085,0.237,0.771,0.536,0.283,0.636,0.403,0.197,0.432,0.253,0.165,0.247,0.791,0.427,0.456,0.548,0.435,0.652,0.183,0.388,0.701,0.654,0.654,0.297,0.332,0.35,0.389,0.4,0.396
