,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.35,0.045,0.04,0.135,0.139,0.064,0.102,0.058,0.058,0.09,0.09,0.162,0.711,0.549,0.302,0.703,0.475,0.186,0.42,0.249,0.133,0.229,0.781,0.421,0.443,0.677,0.337,0.534,0.277,0.326,0.861,0.69,0.7,0.353,0.327,0.342,0.485,0.474,0.472
1,0.339,0.06,0.052,0.114,0.112,0.068,0.117,0.05,0.048,0.078,0.076,0.213,0.729,0.517,0.298,0.685,0.431,0.168,0.385,0.222,0.131,0.216,0.755,0.422,0.436,0.732,0.455,0.59,0.643,0.315,0.636,0.57,0.579,0.345,0.311,0.324,0.442,0.501,0.494
2,0.346,0.051,0.044,0.127,0.13,0.068,0.104,0.051,0.051,0.095,0.093,0.178,0.736,0.559,0.319,0.677,0.456,0.175,0.392,0.242,0.121,0.225,0.826,0.474,0.446,0.686,0.396,0.5,0.272,0.332,0.728,0.568,0.577,0.317,0.3,0.315,0.421,0.413,0.413
3,0.352,0.056,0.052,0.123,0.124,0.067,0.105,0.056,0.056,0.09,0.085,0.138,0.703,0.565,0.319,0.712,0.488,0.191,0.432,0.248,0.138,0.236,0.794,0.439,0.442,0.686,0.412,0.556,0.356,0.331,0.686,0.581,0.592,0.351,0.32,0.338,0.419,0.464,0.46
4,0.322,0.047,0.039,0.149,0.14,0.054,0.087,0.05,0.055,0.079,0.082,0.276,0.759,0.485,0.251,0.651,0.404,0.183,0.396,0.235,0.133,0.207,0.745,0.406,0.462,0.634,0.371,0.566,0.299,0.318,0.856,0.702,0.709,0.378,0.355,0.371,0.496,0.491,0.489
5,0.331,0.051,0.046,0.135,0.14,0.065,0.098,0.055,0.051,0.088,0.083,0.208,0.736,0.529,0.298,0.677,0.45,0.173,0.401,0.234,0.122,0.212,0.781,0.447,0.431,0.723,0.388,0.521,0.282,0.313,0.699,0.598,0.603,0.358,0.332,0.348,0.416,0.436,0.432
6,0.337,0.042,0.036,0.146,0.134,0.065,0.097,0.056,0.053,0.086,0.082,0.21,0.748,0.538,0.302,0.664,0.418,0.173,0.388,0.24,0.124,0.211,0.81,0.495,0.446,0.699,0.322,0.517,0.287,0.318,0.684,0.472,0.485,0.234,0.209,0.223,0.248,0.238,0.237
7,0.346,0.046,0.04,0.141,0.144,0.069,0.108,0.057,0.055,0.078,0.076,0.208,0.745,0.538,0.302,0.667,0.433,0.175,0.379,0.238,0.127,0.208,0.807,0.448,0.462,0.657,0.374,0.534,0.457,0.312,0.752,0.623,0.633,0.344,0.3,0.317,0.415,0.438,0.436
8,0.363,0.041,0.043,0.128,0.136,0.068,0.122,0.057,0.067,0.083,0.083,0.177,0.732,0.556,0.315,0.681,0.472,0.195,0.426,0.242,0.144,0.23,0.816,0.409,0.458,0.631,0.341,0.595,0.554,0.338,0.869,0.673,0.683,0.336,0.28,0.296,0.384,0.401,0.397
9,0.345,0.036,0.039,0.13,0.146,0.071,0.106,0.056,0.074,0.079,0.08,0.17,0.728,0.558,0.319,0.686,0.478,0.186,0.415,0.24,0.151,0.258,0.813,0.446,0.448,0.667,0.302,0.629,0.455,0.376,0.863,0.708,0.714,0.315,0.28,0.294,0.388,0.401,0.398
10,0.348,0.05,0.045,0.133,0.139,0.062,0.101,0.05,0.061,0.089,0.089,0.155,0.696,0.541,0.295,0.718,0.478,0.185,0.418,0.248,0.14,0.237,0.753,0.406,0.443,0.708,0.363,0.565,0.322,0.33,0.63,0.47,0.477,0.263,0.237,0.251,0.281,0.275,0.273
11,0.337,0.045,0.036,0.135,0.135,0.065,0.113,0.053,0.052,0.082,0.08,0.211,0.735,0.525,0.305,0.678,0.432,0.163,0.359,0.224,0.12,0.203,0.774,0.447,0.454,0.693,0.358,0.536,0.502,0.299,0.743,0.615,0.623,0.329,0.281,0.297,0.354,0.405,0.398
12,0.369,0.055,0.047,0.118,0.115,0.07,0.128,0.06,0.06,0.083,0.084,0.138,0.702,0.565,0.326,0.712,0.475,0.182,0.414,0.242,0.135,0.232,0.794,0.419,0.44,0.731,0.383,0.558,0.545,0.326,0.73,0.622,0.632,0.342,0.296,0.312,0.398,0.466,0.462
13,0.337,0.048,0.042,0.138,0.136,0.067,0.102,0.052,0.053,0.091,0.089,0.197,0.74,0.544,0.311,0.673,0.442,0.171,0.393,0.236,0.121,0.224,0.808,0.475,0.435,0.719,0.366,0.513,0.277,0.333,0.72,0.625,0.632,0.359,0.335,0.349,0.429,0.453,0.45
14,0.334,0.045,0.038,0.124,0.132,0.07,0.105,0.057,0.057,0.076,0.074,0.191,0.723,0.532,0.304,0.691,0.46,0.179,0.391,0.23,0.129,0.224,0.77,0.435,0.458,0.682,0.34,0.561,0.447,0.324,0.809,0.646,0.656,0.341,0.294,0.309,0.439,0.488,0.483
15,0.357,0.056,0.054,0.133,0.141,0.064,0.109,0.062,0.06,0.086,0.087,0.135,0.692,0.557,0.309,0.722,0.479,0.196,0.446,0.249,0.142,0.239,0.771,0.42,0.439,0.689,0.407,0.57,0.358,0.331,0.757,0.568,0.579,0.319,0.29,0.306,0.411,0.394,0.392
