,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.401,0.052,0.055,0.145,0.159,0.077,0.157,0.045,0.061,0.103,0.1,0.148,0.734,0.588,0.344,0.679,0.459,0.165,0.383,0.246,0.128,0.24,0.866,0.407,0.431,0.594,0.546,0.52,0.767,0.353,0.492,0.457,0.459,0.32,0.253,0.268,0.291,0.296,0.298
1,0.416,0.052,0.055,0.155,0.157,0.073,0.171,0.052,0.06,0.096,0.097,0.173,0.764,0.593,0.35,0.645,0.449,0.163,0.371,0.245,0.115,0.239,0.919,0.399,0.439,0.595,0.552,0.469,0.83,0.371,0.522,0.48,0.48,0.32,0.244,0.257,0.291,0.291,0.294
2,0.36,0.05,0.054,0.149,0.145,0.065,0.129,0.056,0.055,0.089,0.088,0.283,0.811,0.533,0.302,0.585,0.408,0.15,0.349,0.231,0.108,0.225,0.911,0.424,0.43,0.627,0.553,0.468,0.48,0.385,0.474,0.437,0.438,0.33,0.25,0.265,0.289,0.286,0.289
3,0.414,0.053,0.057,0.163,0.155,0.071,0.15,0.051,0.061,0.106,0.104,0.159,0.767,0.608,0.344,0.642,0.459,0.174,0.406,0.265,0.124,0.247,0.947,0.423,0.429,0.626,0.505,0.468,0.567,0.385,0.523,0.489,0.491,0.347,0.273,0.288,0.343,0.34,0.343
4,0.372,0.053,0.054,0.153,0.149,0.065,0.129,0.051,0.054,0.092,0.093,0.249,0.797,0.55,0.307,0.604,0.424,0.163,0.366,0.243,0.108,0.226,0.911,0.42,0.445,0.589,0.557,0.444,0.468,0.374,0.532,0.49,0.491,0.349,0.275,0.291,0.35,0.339,0.343
5,0.366,0.04,0.045,0.135,0.124,0.064,0.121,0.053,0.061,0.095,0.096,0.215,0.78,0.566,0.321,0.626,0.431,0.169,0.37,0.245,0.12,0.233,0.904,0.464,0.457,0.568,0.443,0.49,0.364,0.372,0.638,0.573,0.576,0.358,0.281,0.298,0.318,0.316,0.319
6,0.409,0.053,0.053,0.141,0.152,0.068,0.145,0.043,0.066,0.11,0.111,0.168,0.763,0.597,0.332,0.647,0.469,0.179,0.408,0.264,0.139,0.242,0.923,0.401,0.439,0.609,0.486,0.527,0.602,0.374,0.477,0.514,0.513,0.368,0.299,0.315,0.405,0.403,0.406
7,0.41,0.051,0.043,0.126,0.107,0.045,0.128,0.045,0.076,0.104,0.102,0.149,0.735,0.588,0.307,0.678,0.484,0.195,0.429,0.282,0.156,0.278,0.867,0.37,0.455,0.579,0.416,0.553,0.541,0.41,0.628,0.608,0.609,0.347,0.295,0.308,0.579,0.582,0.585
8,0.42,0.06,0.061,0.147,0.154,0.066,0.144,0.058,0.072,0.105,0.105,0.151,0.76,0.609,0.333,0.65,0.465,0.182,0.424,0.276,0.133,0.252,0.937,0.409,0.429,0.648,0.513,0.482,0.49,0.388,0.588,0.582,0.583,0.402,0.332,0.35,0.466,0.455,0.459
9,0.403,0.055,0.055,0.143,0.137,0.074,0.165,0.048,0.064,0.091,0.09,0.186,0.774,0.589,0.352,0.634,0.458,0.164,0.389,0.238,0.126,0.251,0.929,0.406,0.422,0.652,0.514,0.529,0.919,0.396,0.457,0.428,0.43,0.305,0.232,0.244,0.304,0.303,0.306
