,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
294,0.335,0.038,0.037,0.131,0.129,0.069,0.102,0.026,0.066,0.101,0.102,0.236,0.781,0.545,0.312,0.624,0.427,0.154,0.325,0.233,0.138,0.233,0.828,0.492,0.474,0.578,0.421,0.592,0.254,0.373,0.741,0.474,0.477,0.363,0.307,0.312,0.35,0.316,0.318
295,0.374,0.053,0.041,0.128,0.119,0.055,0.137,0.036,0.073,0.086,0.087,0.219,0.784,0.565,0.328,0.62,0.447,0.183,0.429,0.237,0.146,0.283,0.864,0.43,0.427,0.65,0.395,0.616,0.67,0.456,0.513,0.461,0.461,0.234,0.22,0.221,0.384,0.377,0.376
296,0.35,0.045,0.049,0.135,0.128,0.06,0.101,0.041,0.058,0.103,0.102,0.22,0.774,0.556,0.307,0.633,0.445,0.18,0.39,0.25,0.151,0.273,0.833,0.463,0.462,0.517,0.505,0.604,0.169,0.431,0.534,0.498,0.497,0.312,0.29,0.301,0.321,0.342,0.343
297,0.375,0.051,0.059,0.094,0.11,0.082,0.16,0.045,0.047,0.095,0.095,0.223,0.804,0.585,0.372,0.594,0.373,0.124,0.289,0.218,0.106,0.178,0.935,0.568,0.429,0.524,0.846,0.486,0.587,0.3,0.386,0.426,0.422,0.287,0.232,0.239,0.365,0.286,0.289
298,0.367,0.056,0.049,0.145,0.148,0.06,0.117,0.039,0.071,0.115,0.111,0.204,0.782,0.578,0.328,0.623,0.451,0.162,0.381,0.25,0.155,0.254,0.88,0.468,0.425,0.673,0.482,0.62,0.186,0.408,0.595,0.497,0.498,0.343,0.311,0.317,0.375,0.329,0.326
299,0.361,0.05,0.046,0.12,0.13,0.05,0.111,0.037,0.055,0.112,0.103,0.314,0.832,0.519,0.269,0.555,0.388,0.166,0.379,0.25,0.111,0.212,0.887,0.407,0.438,0.62,0.466,0.444,0.16,0.382,0.487,0.454,0.458,0.39,0.332,0.341,0.394,0.373,0.377
300,0.377,0.062,0.073,0.143,0.151,0.054,0.1,0.036,0.068,0.107,0.095,0.229,0.786,0.56,0.284,0.619,0.412,0.169,0.393,0.279,0.149,0.265,0.859,0.447,0.43,0.598,0.668,0.534,0.192,0.428,0.516,0.444,0.448,0.335,0.306,0.315,0.36,0.359,0.36
301,0.346,0.04,0.042,0.129,0.127,0.072,0.109,0.03,0.057,0.107,0.104,0.187,0.773,0.586,0.349,0.634,0.469,0.162,0.349,0.237,0.131,0.24,0.877,0.512,0.464,0.58,0.436,0.553,0.242,0.379,0.602,0.444,0.459,0.35,0.295,0.302,0.316,0.309,0.301
302,0.398,0.048,0.048,0.148,0.146,0.066,0.146,0.053,0.053,0.113,0.122,0.159,0.782,0.623,0.372,0.623,0.465,0.173,0.384,0.252,0.133,0.212,0.949,0.484,0.451,0.613,0.453,0.528,0.249,0.34,0.634,0.466,0.47,0.326,0.28,0.283,0.517,0.431,0.432
303,0.399,0.055,0.057,0.171,0.173,0.064,0.127,0.048,0.064,0.123,0.12,0.186,0.782,0.596,0.324,0.624,0.457,0.184,0.408,0.272,0.149,0.257,0.906,0.431,0.451,0.592,0.514,0.548,0.179,0.412,0.525,0.49,0.488,0.351,0.307,0.316,0.433,0.386,0.387
304,0.367,0.059,0.059,0.121,0.128,0.071,0.147,0.051,0.051,0.103,0.105,0.198,0.742,0.544,0.326,0.671,0.461,0.166,0.392,0.22,0.122,0.205,0.769,0.388,0.423,0.729,0.488,0.555,0.375,0.306,0.386,0.388,0.398,0.294,0.232,0.243,0.374,0.304,0.313
305,0.385,0.05,0.05,0.157,0.149,0.08,0.119,0.028,0.067,0.114,0.113,0.142,0.755,0.614,0.348,0.656,0.475,0.18,0.404,0.266,0.149,0.272,0.888,0.482,0.446,0.644,0.431,0.56,0.283,0.415,0.5,0.389,0.396,0.293,0.262,0.275,0.273,0.243,0.244
306,0.39,0.06,0.061,0.162,0.16,0.06,0.131,0.047,0.068,0.117,0.115,0.209,0.783,0.574,0.316,0.622,0.432,0.181,0.406,0.261,0.136,0.247,0.876,0.431,0.446,0.586,0.571,0.521,0.239,0.397,0.421,0.357,0.358,0.303,0.243,0.243,0.383,0.319,0.319
307,0.353,0.068,0.066,0.163,0.158,0.063,0.102,0.042,0.059,0.103,0.103,0.243,0.778,0.541,0.291,0.628,0.425,0.163,0.377,0.252,0.129,0.228,0.817,0.447,0.432,0.699,0.588,0.512,0.173,0.363,0.314,0.367,0.366,0.344,0.292,0.301,0.552,0.452,0.457
308,0.377,0.042,0.045,0.142,0.136,0.056,0.118,0.031,0.068,0.123,0.123,0.229,0.804,0.575,0.316,0.594,0.44,0.18,0.365,0.26,0.142,0.248,0.918,0.45,0.493,0.517,0.468,0.546,0.128,0.418,0.726,0.597,0.605,0.454,0.401,0.411,0.482,0.43,0.43
309,0.431,0.071,0.066,0.185,0.17,0.069,0.154,0.054,0.062,0.139,0.144,0.177,0.77,0.593,0.316,0.639,0.423,0.177,0.424,0.277,0.154,0.263,0.88,0.385,0.417,0.74,0.523,0.556,0.19,0.412,0.556,0.468,0.474,0.33,0.283,0.293,0.382,0.312,0.315
310,0.4,0.055,0.052,0.146,0.134,0.07,0.143,0.046,0.07,0.102,0.097,0.18,0.787,0.607,0.351,0.617,0.428,0.162,0.376,0.257,0.146,0.262,0.934,0.486,0.431,0.667,0.495,0.568,0.466,0.425,0.406,0.33,0.33,0.246,0.192,0.192,0.308,0.253,0.253
311,0.337,0.053,0.045,0.129,0.128,0.069,0.114,0.039,0.043,0.097,0.105,0.33,0.829,0.503,0.283,0.559,0.374,0.128,0.293,0.224,0.112,0.17,0.854,0.455,0.437,0.75,0.51,0.5,0.228,0.304,0.63,0.577,0.587,0.424,0.37,0.382,0.709,0.67,0.67
312,0.368,0.043,0.04,0.138,0.135,0.073,0.121,0.046,0.048,0.092,0.092,0.218,0.754,0.542,0.299,0.656,0.427,0.15,0.316,0.247,0.128,0.208,0.784,0.422,0.475,0.653,0.423,0.518,0.352,0.317,0.486,0.424,0.431,0.275,0.241,0.248,0.382,0.325,0.338
313,0.347,0.053,0.052,0.112,0.102,0.048,0.114,0.029,0.058,0.073,0.08,0.269,0.782,0.517,0.284,0.623,0.416,0.151,0.367,0.233,0.135,0.254,0.787,0.411,0.411,0.728,0.477,0.579,0.672,0.408,0.441,0.409,0.411,0.23,0.209,0.216,0.431,0.412,0.412
314,0.35,0.057,0.051,0.118,0.121,0.077,0.127,0.039,0.065,0.107,0.119,0.171,0.744,0.573,0.35,0.669,0.483,0.192,0.438,0.223,0.143,0.243,0.813,0.462,0.438,0.651,0.432,0.641,0.237,0.363,0.388,0.4,0.398,0.306,0.266,0.273,0.272,0.256,0.253
315,0.337,0.046,0.043,0.1,0.109,0.06,0.115,0.025,0.061,0.066,0.069,0.212,0.757,0.545,0.323,0.654,0.456,0.154,0.334,0.222,0.143,0.233,0.79,0.456,0.461,0.558,0.517,0.644,0.898,0.356,0.338,0.389,0.381,0.211,0.215,0.216,0.392,0.332,0.335
316,0.329,0.032,0.039,0.114,0.122,0.053,0.105,0.033,0.065,0.09,0.088,0.266,0.772,0.51,0.288,0.636,0.417,0.136,0.311,0.224,0.146,0.261,0.761,0.439,0.437,0.596,0.438,0.652,0.39,0.41,0.638,0.532,0.534,0.284,0.256,0.257,0.343,0.315,0.316
317,0.404,0.061,0.059,0.146,0.152,0.062,0.142,0.053,0.067,0.106,0.113,0.178,0.753,0.579,0.317,0.658,0.455,0.208,0.444,0.262,0.156,0.246,0.835,0.385,0.468,0.577,0.5,0.595,0.349,0.374,0.596,0.523,0.535,0.303,0.303,0.305,0.354,0.336,0.338
318,0.372,0.044,0.039,0.208,0.208,0.069,0.13,0.053,0.078,0.112,0.104,0.216,0.744,0.528,0.286,0.668,0.452,0.191,0.417,0.243,0.165,0.295,0.75,0.347,0.458,0.597,0.364,0.679,0.33,0.442,0.734,0.674,0.671,0.326,0.294,0.304,0.62,0.549,0.555
319,0.348,0.054,0.047,0.138,0.136,0.062,0.121,0.047,0.062,0.101,0.106,0.3,0.816,0.519,0.292,0.578,0.407,0.151,0.334,0.227,0.121,0.212,0.852,0.42,0.452,0.603,0.555,0.533,0.211,0.367,0.624,0.575,0.575,0.299,0.254,0.263,0.393,0.344,0.353
320,0.35,0.044,0.057,0.104,0.106,0.047,0.123,0.041,0.059,0.097,0.09,0.295,0.806,0.518,0.291,0.591,0.384,0.153,0.333,0.228,0.126,0.214,0.831,0.438,0.459,0.536,0.616,0.553,0.387,0.362,0.364,0.371,0.371,0.301,0.268,0.268,0.267,0.264,0.264
321,0.359,0.048,0.049,0.137,0.135,0.054,0.115,0.041,0.061,0.091,0.094,0.216,0.765,0.55,0.305,0.644,0.46,0.176,0.373,0.245,0.135,0.257,0.81,0.413,0.472,0.54,0.511,0.551,0.387,0.399,0.683,0.504,0.513,0.327,0.277,0.291,0.46,0.415,0.422
322,0.374,0.036,0.045,0.125,0.122,0.081,0.144,0.037,0.054,0.096,0.103,0.218,0.812,0.598,0.369,0.584,0.378,0.148,0.329,0.23,0.115,0.209,0.972,0.598,0.45,0.547,0.5,0.5,0.535,0.358,0.384,0.332,0.331,0.273,0.207,0.214,0.183,0.173,0.172
323,0.398,0.062,0.058,0.175,0.171,0.076,0.138,0.043,0.056,0.121,0.116,0.173,0.766,0.594,0.334,0.643,0.451,0.152,0.363,0.26,0.142,0.244,0.877,0.435,0.419,0.743,0.531,0.546,0.284,0.379,0.578,0.505,0.512,0.389,0.333,0.348,0.484,0.468,0.468
324,0.346,0.046,0.056,0.144,0.137,0.071,0.116,0.037,0.05,0.093,0.089,0.23,0.75,0.521,0.292,0.661,0.398,0.158,0.36,0.23,0.108,0.216,0.748,0.442,0.439,0.551,0.586,0.47,0.33,0.327,0.598,0.467,0.466,0.388,0.325,0.325,0.341,0.326,0.326
325,0.359,0.041,0.055,0.125,0.13,0.054,0.111,0.038,0.072,0.086,0.075,0.211,0.762,0.551,0.302,0.648,0.43,0.163,0.378,0.249,0.154,0.263,0.806,0.447,0.431,0.589,0.5,0.618,0.504,0.406,0.414,0.459,0.453,0.273,0.246,0.254,0.366,0.347,0.348
326,0.393,0.058,0.057,0.156,0.16,0.053,0.128,0.039,0.065,0.117,0.119,0.21,0.778,0.568,0.303,0.629,0.443,0.182,0.392,0.266,0.143,0.257,0.857,0.395,0.464,0.588,0.537,0.538,0.262,0.409,0.559,0.465,0.467,0.318,0.28,0.288,0.323,0.314,0.314
327,0.366,0.04,0.042,0.172,0.163,0.088,0.132,0.035,0.068,0.113,0.105,0.202,0.791,0.598,0.363,0.612,0.442,0.164,0.361,0.235,0.142,0.273,0.927,0.527,0.454,0.61,0.41,0.604,0.359,0.446,0.42,0.432,0.426,0.264,0.232,0.241,0.227,0.209,0.212
328,0.384,0.055,0.057,0.169,0.17,0.074,0.133,0.045,0.057,0.121,0.115,0.23,0.795,0.566,0.315,0.606,0.408,0.15,0.356,0.251,0.134,0.223,0.886,0.446,0.421,0.633,0.589,0.534,0.205,0.368,0.484,0.387,0.392,0.277,0.262,0.271,0.376,0.346,0.346
329,0.358,0.046,0.046,0.153,0.147,0.093,0.13,0.025,0.056,0.116,0.116,0.186,0.787,0.6,0.372,0.618,0.462,0.149,0.327,0.229,0.11,0.189,0.921,0.526,0.456,0.584,0.529,0.48,0.304,0.306,0.606,0.496,0.501,0.417,0.347,0.354,0.408,0.366,0.367
330,0.406,0.046,0.046,0.165,0.153,0.065,0.139,0.038,0.077,0.12,0.117,0.165,0.773,0.609,0.343,0.634,0.469,0.178,0.368,0.267,0.139,0.241,0.912,0.433,0.484,0.5,0.517,0.521,0.33,0.38,0.74,0.545,0.551,0.392,0.329,0.34,0.56,0.542,0.541
331,0.391,0.053,0.062,0.143,0.159,0.061,0.11,0.041,0.057,0.122,0.113,0.176,0.739,0.573,0.295,0.674,0.413,0.177,0.412,0.286,0.153,0.247,0.806,0.448,0.43,0.593,0.548,0.535,0.153,0.366,0.248,0.215,0.217,0.195,0.182,0.187,0.11,0.091,0.092
332,0.434,0.064,0.062,0.169,0.169,0.063,0.157,0.059,0.072,0.123,0.13,0.133,0.783,0.65,0.373,0.622,0.434,0.194,0.415,0.277,0.154,0.257,0.991,0.498,0.467,0.608,0.534,0.556,0.285,0.413,0.446,0.384,0.388,0.233,0.206,0.215,0.266,0.223,0.225
333,0.383,0.048,0.046,0.149,0.149,0.06,0.126,0.042,0.069,0.11,0.109,0.189,0.769,0.581,0.324,0.639,0.461,0.17,0.364,0.257,0.155,0.258,0.862,0.432,0.467,0.576,0.48,0.603,0.307,0.404,0.666,0.469,0.474,0.278,0.238,0.25,0.317,0.29,0.293
334,0.374,0.037,0.033,0.141,0.141,0.073,0.13,0.058,0.07,0.11,0.114,0.197,0.761,0.566,0.323,0.649,0.441,0.174,0.394,0.245,0.151,0.255,0.827,0.44,0.442,0.667,0.302,0.616,0.273,0.393,0.67,0.643,0.639,0.306,0.279,0.282,0.648,0.704,0.706
335,0.389,0.064,0.067,0.15,0.147,0.055,0.126,0.043,0.06,0.104,0.106,0.201,0.755,0.56,0.297,0.656,0.423,0.19,0.428,0.264,0.14,0.263,0.81,0.404,0.444,0.621,0.555,0.53,0.33,0.401,0.467,0.395,0.398,0.256,0.243,0.249,0.274,0.265,0.267
336,0.342,0.045,0.041,0.132,0.115,0.054,0.094,0.037,0.058,0.071,0.084,0.228,0.748,0.525,0.278,0.664,0.418,0.159,0.366,0.249,0.145,0.246,0.75,0.44,0.434,0.667,0.406,0.582,0.357,0.37,0.658,0.589,0.589,0.319,0.313,0.313,0.49,0.483,0.489
337,0.34,0.051,0.049,0.115,0.115,0.078,0.115,0.038,0.05,0.106,0.098,0.233,0.806,0.573,0.348,0.592,0.405,0.157,0.344,0.226,0.118,0.203,0.918,0.578,0.456,0.631,0.505,0.522,0.269,0.343,0.461,0.449,0.451,0.315,0.289,0.3,0.645,0.496,0.493
338,0.332,0.064,0.064,0.134,0.137,0.062,0.1,0.033,0.043,0.104,0.1,0.259,0.771,0.518,0.287,0.637,0.416,0.157,0.342,0.233,0.124,0.204,0.771,0.447,0.459,0.548,0.744,0.532,0.19,0.32,0.355,0.355,0.361,0.367,0.322,0.336,0.32,0.298,0.297
339,0.374,0.052,0.058,0.151,0.148,0.063,0.121,0.05,0.062,0.113,0.112,0.217,0.758,0.541,0.288,0.652,0.455,0.171,0.397,0.253,0.14,0.238,0.787,0.367,0.431,0.626,0.514,0.553,0.158,0.365,0.458,0.447,0.451,0.333,0.291,0.307,0.416,0.389,0.391
340,0.43,0.059,0.063,0.164,0.168,0.071,0.16,0.056,0.068,0.127,0.123,0.141,0.784,0.643,0.373,0.621,0.432,0.176,0.394,0.271,0.15,0.256,0.982,0.493,0.447,0.585,0.592,0.554,0.33,0.412,0.379,0.334,0.338,0.217,0.197,0.205,0.298,0.249,0.254
341,0.362,0.05,0.054,0.17,0.16,0.095,0.135,0.025,0.057,0.094,0.099,0.239,0.774,0.535,0.309,0.634,0.435,0.131,0.352,0.227,0.141,0.252,0.801,0.4,0.372,0.885,0.448,0.621,0.806,0.397,0.416,0.532,0.526,0.346,0.281,0.284,0.433,0.391,0.389
342,0.358,0.055,0.051,0.113,0.119,0.067,0.119,0.048,0.054,0.108,0.106,0.262,0.793,0.531,0.293,0.609,0.395,0.167,0.37,0.239,0.126,0.233,0.827,0.441,0.451,0.677,0.469,0.527,0.206,0.383,0.513,0.462,0.459,0.352,0.292,0.303,0.5,0.42,0.421
343,0.365,0.066,0.066,0.153,0.136,0.068,0.119,0.042,0.059,0.114,0.105,0.204,0.772,0.568,0.322,0.636,0.441,0.161,0.39,0.246,0.153,0.263,0.847,0.463,0.413,0.739,0.555,0.622,0.267,0.414,0.433,0.405,0.406,0.324,0.266,0.279,0.425,0.38,0.385
344,0.336,0.022,0.057,0.105,0.129,0.079,0.12,0.035,0.047,0.089,0.08,0.267,0.813,0.552,0.338,0.582,0.378,0.127,0.253,0.22,0.11,0.173,0.899,0.579,0.502,0.37,0.84,0.5,0.472,0.297,0.699,0.556,0.556,0.336,0.302,0.302,0.274,0.217,0.217
345,0.351,0.053,0.054,0.125,0.134,0.055,0.111,0.037,0.06,0.107,0.105,0.244,0.793,0.549,0.309,0.609,0.429,0.166,0.37,0.24,0.143,0.254,0.855,0.462,0.449,0.614,0.525,0.596,0.205,0.417,0.616,0.471,0.473,0.35,0.314,0.318,0.403,0.334,0.333
346,0.391,0.066,0.061,0.18,0.169,0.059,0.136,0.051,0.059,0.113,0.112,0.185,0.771,0.588,0.332,0.637,0.457,0.172,0.385,0.256,0.137,0.248,0.876,0.429,0.447,0.64,0.577,0.535,0.278,0.389,0.734,0.493,0.516,0.411,0.328,0.345,0.418,0.368,0.365
