,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.851,0.214,0.6970000000000001,0.6,0.6,0.373,0.327,0.33299999999999996,0.475,0.469,0.469
1,0.645,0.092,0.38799999999999996,0.37,0.369,0.289,0.257,0.271,0.386,0.36,0.366
2,0.667,0.258,0.665,0.5589999999999999,0.565,0.29,0.3,0.299,0.517,0.514,0.516
3,0.5429999999999999,0.11900000000000001,0.5670000000000001,0.551,0.546,0.42700000000000005,0.4,0.40299999999999997,0.446,0.41,0.41200000000000003
4,0.62,0.09300000000000001,0.602,0.47600000000000003,0.48100000000000004,0.345,0.293,0.302,0.402,0.384,0.386
5,0.519,0.162,0.768,0.615,0.619,0.35200000000000004,0.31,0.321,0.368,0.361,0.36200000000000004
6,0.565,0.258,0.639,0.5489999999999999,0.552,0.265,0.307,0.308,0.452,0.419,0.42
7,0.599,0.6709999999999999,0.833,0.741,0.74,0.337,0.294,0.298,0.687,0.706,0.708
8,0.639,0.214,0.652,0.552,0.556,0.256,0.256,0.259,0.48200000000000004,0.5,0.506
9,0.621,0.14400000000000002,0.629,0.545,0.5429999999999999,0.433,0.379,0.38299999999999995,0.527,0.501,0.501
10,0.603,0.11,0.619,0.507,0.51,0.478,0.39899999999999997,0.40399999999999997,0.469,0.45299999999999996,0.45399999999999996
11,0.778,0.19,0.693,0.504,0.502,0.355,0.298,0.3,0.5429999999999999,0.451,0.455
12,0.643,0.19,0.5820000000000001,0.396,0.401,0.31,0.21899999999999997,0.221,0.302,0.237,0.23800000000000002
13,0.523,0.16,0.711,0.584,0.59,0.43200000000000005,0.355,0.368,0.45799999999999996,0.419,0.42100000000000004
14,0.614,0.26899999999999996,0.6809999999999999,0.5479999999999999,0.55,0.41,0.313,0.322,0.515,0.502,0.498
15,0.524,0.38799999999999996,0.6459999999999999,0.551,0.556,0.358,0.298,0.305,0.40700000000000003,0.384,0.387
16,0.5579999999999999,0.7020000000000001,0.44,0.45799999999999996,0.461,0.223,0.239,0.239,0.4,0.294,0.293
17,0.5539999999999999,0.092,0.594,0.563,0.562,0.35200000000000004,0.327,0.326,0.604,0.505,0.503
18,0.75,0.696,0.599,0.581,0.585,0.213,0.212,0.213,0.305,0.305,0.306
19,0.667,0.35700000000000004,0.7709999999999999,0.6890000000000001,0.693,0.287,0.27399999999999997,0.27899999999999997,0.43700000000000006,0.42200000000000004,0.424
20,0.741,0.41,0.615,0.48200000000000004,0.489,0.23800000000000002,0.242,0.24100000000000002,0.41,0.37,0.374
21,0.586,0.425,0.6659999999999999,0.5589999999999999,0.56,0.273,0.264,0.265,0.541,0.517,0.519
22,0.669,0.092,0.7909999999999999,0.597,0.602,0.45,0.415,0.419,0.488,0.475,0.478
23,0.618,0.163,0.607,0.504,0.495,0.368,0.33,0.335,0.46799999999999997,0.405,0.402
