,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.584,0.1,0.7070000000000001,0.593,0.594,0.33299999999999996,0.293,0.302,0.483,0.44,0.43799999999999994
1,0.703,0.37200000000000005,0.705,0.536,0.542,0.324,0.27899999999999997,0.28,0.63,0.596,0.595
2,0.604,0.955,0.613,0.534,0.5329999999999999,0.20199999999999999,0.16699999999999998,0.17,0.588,0.5539999999999999,0.5539999999999999
3,0.718,0.456,0.638,0.40700000000000003,0.428,0.37799999999999995,0.308,0.313,0.285,0.255,0.255
4,0.575,0.623,0.775,0.56,0.569,0.324,0.20199999999999999,0.20800000000000002,0.39399999999999996,0.37799999999999995,0.377
5,0.743,0.248,0.773,0.684,0.682,0.37799999999999995,0.33899999999999997,0.34299999999999997,0.43200000000000005,0.455,0.44799999999999995
6,0.556,0.6629999999999999,0.604,0.376,0.39399999999999996,0.221,0.213,0.21899999999999997,0.327,0.301,0.304
7,0.5,0.6809999999999999,0.557,0.486,0.484,0.21899999999999997,0.19699999999999998,0.20199999999999999,0.358,0.371,0.37799999999999995
8,0.569,0.158,0.66,0.406,0.418,0.34600000000000003,0.314,0.317,0.29100000000000004,0.257,0.256
9,0.6759999999999999,0.223,0.772,0.544,0.56,0.34600000000000003,0.278,0.285,0.292,0.247,0.249
10,0.5379999999999999,0.17600000000000002,0.625,0.5489999999999999,0.5539999999999999,0.345,0.298,0.305,0.33399999999999996,0.318,0.319
11,0.642,0.168,0.664,0.5589999999999999,0.56,0.297,0.28,0.285,0.522,0.52,0.522
12,0.49700000000000005,0.223,0.5329999999999999,0.47100000000000003,0.474,0.316,0.27899999999999997,0.281,0.466,0.429,0.428
13,0.469,0.376,0.547,0.544,0.5489999999999999,0.307,0.29600000000000004,0.3,0.42700000000000005,0.387,0.391
14,0.6629999999999999,0.111,0.593,0.496,0.49700000000000005,0.28,0.24600000000000002,0.25,0.262,0.24,0.23800000000000002
15,0.579,0.452,0.752,0.5539999999999999,0.563,0.21,0.215,0.22,0.423,0.382,0.37799999999999995
16,0.5379999999999999,0.215,0.6779999999999999,0.5579999999999999,0.5589999999999999,0.22399999999999998,0.20800000000000002,0.209,0.33799999999999997,0.305,0.302
17,0.6859999999999999,0.163,0.813,0.597,0.616,0.40700000000000003,0.358,0.368,0.509,0.499,0.498
18,0.669,0.29100000000000004,0.679,0.603,0.602,0.33399999999999996,0.275,0.28,0.7509999999999999,0.7170000000000001,0.718
19,0.636,0.315,0.62,0.574,0.5770000000000001,0.183,0.17600000000000002,0.177,0.662,0.638,0.635
20,0.466,0.446,0.8690000000000001,0.696,0.6970000000000001,0.187,0.174,0.17800000000000002,0.517,0.514,0.518
21,0.607,0.223,0.77,0.602,0.628,0.307,0.247,0.267,0.401,0.35600000000000004,0.363
22,0.669,0.223,0.545,0.348,0.36200000000000004,0.433,0.33299999999999996,0.344,0.413,0.419,0.419
23,0.667,0.223,0.8009999999999999,0.696,0.705,0.297,0.259,0.268,0.455,0.444,0.445
24,0.765,0.313,0.691,0.627,0.627,0.292,0.271,0.27399999999999997,0.49700000000000005,0.48100000000000004,0.48200000000000004
25,0.575,0.484,0.599,0.509,0.507,0.221,0.21100000000000002,0.214,0.306,0.301,0.301
26,0.62,0.249,0.7709999999999999,0.547,0.5670000000000001,0.34,0.275,0.293,0.34700000000000003,0.324,0.324
27,0.665,0.154,0.667,0.532,0.535,0.34700000000000003,0.302,0.313,0.34600000000000003,0.345,0.345
28,0.64,0.337,0.639,0.465,0.486,0.342,0.313,0.317,0.303,0.316,0.311
29,0.447,0.223,0.7390000000000001,0.48700000000000004,0.515,0.353,0.319,0.318,0.375,0.314,0.317
30,0.623,0.182,0.6709999999999999,0.465,0.474,0.305,0.255,0.26899999999999996,0.35200000000000004,0.33399999999999996,0.332
31,0.524,0.23399999999999999,0.606,0.45899999999999996,0.465,0.31,0.267,0.273,0.381,0.373,0.373
32,0.541,0.223,0.7979999999999999,0.556,0.575,0.294,0.271,0.27899999999999997,0.359,0.35200000000000004,0.35100000000000003
33,0.574,0.375,0.603,0.513,0.521,0.225,0.212,0.22,0.308,0.317,0.318
34,0.46799999999999997,0.317,0.6509999999999999,0.523,0.531,0.23199999999999998,0.21100000000000002,0.217,0.496,0.49,0.49
35,0.618,0.496,0.475,0.48100000000000004,0.48200000000000004,0.251,0.226,0.22699999999999998,0.489,0.516,0.517
36,0.534,0.223,0.7609999999999999,0.53,0.5429999999999999,0.311,0.268,0.27399999999999997,0.679,0.6579999999999999,0.6579999999999999
