,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.59,0.12300000000000001,0.297,0.298,0.299,0.188,0.183,0.183,0.327,0.23600000000000002,0.23800000000000002
1,0.58,0.386,0.445,0.447,0.447,0.204,0.187,0.188,0.271,0.23,0.23199999999999998
2,0.5589999999999999,0.245,0.583,0.528,0.532,0.23199999999999998,0.22699999999999998,0.235,0.382,0.379,0.37799999999999995
3,0.55,0.486,0.46799999999999997,0.451,0.447,0.20800000000000002,0.196,0.19699999999999998,0.28,0.276,0.27699999999999997
4,0.503,0.313,0.622,0.518,0.52,0.20199999999999999,0.20199999999999999,0.21,0.489,0.42100000000000004,0.42100000000000004
5,0.546,0.064,0.46299999999999997,0.48200000000000004,0.488,0.23399999999999999,0.231,0.23199999999999998,0.562,0.539,0.539
6,0.59,0.287,0.595,0.569,0.574,0.124,0.18600000000000003,0.184,0.41600000000000004,0.336,0.33399999999999996
7,0.40700000000000003,0.23,0.37799999999999995,0.40299999999999997,0.40299999999999997,0.18600000000000003,0.171,0.18,0.43200000000000005,0.41100000000000003,0.41200000000000003
8,0.639,0.10800000000000001,0.444,0.486,0.485,0.313,0.297,0.301,0.43700000000000006,0.439,0.435
9,0.467,0.45,0.846,0.6609999999999999,0.67,0.17600000000000002,0.17,0.175,0.495,0.473,0.47200000000000003
10,0.433,0.33299999999999996,0.331,0.284,0.28600000000000003,0.177,0.134,0.14,0.233,0.223,0.221
11,0.475,0.16699999999999998,0.455,0.47200000000000003,0.47700000000000004,0.22699999999999998,0.23,0.23399999999999999,0.406,0.374,0.375
12,0.562,0.29600000000000004,0.5429999999999999,0.564,0.562,0.217,0.244,0.24600000000000002,0.698,0.679,0.6779999999999999
13,0.59,0.131,0.326,0.41700000000000004,0.41700000000000004,0.10099999999999999,0.16399999999999998,0.16399999999999998,0.381,0.298,0.299
14,0.46399999999999997,0.33,0.6970000000000001,0.599,0.596,0.19899999999999998,0.22899999999999998,0.23399999999999999,0.466,0.46,0.45399999999999996
15,0.49,0.35100000000000003,0.436,0.415,0.415,0.135,0.157,0.166,0.31,0.298,0.3
16,0.5,0.09699999999999999,0.5870000000000001,0.529,0.5329999999999999,0.319,0.262,0.278,0.465,0.436,0.43700000000000006
17,0.631,0.49,0.312,0.369,0.365,0.131,0.16699999999999998,0.17300000000000001,0.331,0.31,0.308
18,0.696,0.23600000000000002,0.39299999999999996,0.41600000000000004,0.418,0.195,0.196,0.19699999999999998,0.302,0.307,0.306
19,0.562,0.099,0.318,0.332,0.332,0.212,0.203,0.203,0.25,0.225,0.225
20,0.648,0.13,0.5329999999999999,0.56,0.562,0.376,0.271,0.278,0.353,0.38799999999999996,0.39
21,0.59,0.113,0.42,0.441,0.429,0.188,0.242,0.24100000000000002,0.292,0.303,0.304
22,0.5489999999999999,0.09,0.41,0.361,0.363,0.253,0.243,0.248,0.284,0.252,0.25
23,0.568,0.35,0.392,0.414,0.418,0.158,0.185,0.18899999999999997,0.48100000000000004,0.48,0.48100000000000004
24,0.604,0.198,0.377,0.42,0.414,0.132,0.156,0.155,0.5710000000000001,0.545,0.5489999999999999
25,0.515,0.17600000000000002,0.589,0.551,0.5479999999999999,0.17800000000000002,0.21899999999999997,0.22,0.373,0.371,0.371
26,0.489,0.237,0.51,0.48100000000000004,0.484,0.27399999999999997,0.255,0.27,0.44799999999999995,0.433,0.436
27,0.568,0.46299999999999997,0.316,0.35200000000000004,0.344,0.21,0.14300000000000002,0.149,0.387,0.33399999999999996,0.341
28,0.609,0.292,0.47100000000000003,0.486,0.488,0.237,0.174,0.17600000000000002,0.308,0.292,0.292
