,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.622,0.057999999999999996,0.521,0.45799999999999996,0.45799999999999996,0.36200000000000004,0.322,0.32799999999999996,0.34,0.326,0.32799999999999996
1,0.629,0.336,0.439,0.435,0.436,0.34600000000000003,0.3,0.299,0.452,0.439,0.441
2,0.544,0.07400000000000001,0.5429999999999999,0.493,0.493,0.409,0.381,0.381,0.526,0.46399999999999997,0.46399999999999997
3,0.797,0.102,0.765,0.76,0.76,0.32899999999999996,0.31,0.309,0.569,0.555,0.5539999999999999
4,0.57,0.111,0.39799999999999996,0.366,0.382,0.27699999999999997,0.253,0.268,0.273,0.27699999999999997,0.27699999999999997
5,0.59,0.49700000000000005,0.565,0.531,0.5429999999999999,0.287,0.26,0.268,0.451,0.439,0.44
6,0.631,0.276,0.315,0.28800000000000003,0.287,0.156,0.141,0.14300000000000002,0.204,0.193,0.193
7,0.535,0.099,0.618,0.5529999999999999,0.552,0.38,0.325,0.33799999999999997,0.371,0.34,0.34
8,0.6679999999999999,0.263,0.408,0.395,0.39399999999999996,0.327,0.272,0.27699999999999997,0.37,0.35,0.349
9,0.573,0.18600000000000003,0.6659999999999999,0.585,0.583,0.318,0.299,0.304,0.51,0.502,0.501
10,0.58,0.26899999999999996,0.35600000000000004,0.322,0.327,0.22899999999999998,0.201,0.20600000000000002,0.228,0.225,0.223
11,0.537,0.27,0.609,0.495,0.49200000000000005,0.36,0.3,0.305,0.5,0.491,0.486
12,0.643,0.105,0.677,0.56,0.561,0.32,0.306,0.31,0.396,0.373,0.37200000000000005
13,0.48700000000000004,0.11699999999999999,0.545,0.48100000000000004,0.484,0.34299999999999997,0.307,0.314,0.33299999999999996,0.326,0.321
14,0.5710000000000001,0.38799999999999996,0.436,0.4,0.401,0.287,0.204,0.214,0.35200000000000004,0.342,0.342
15,0.522,0.4,0.614,0.555,0.5579999999999999,0.27399999999999997,0.261,0.262,0.5660000000000001,0.55,0.5489999999999999
16,0.545,0.207,0.672,0.562,0.561,0.285,0.275,0.278,0.552,0.542,0.542
17,0.526,0.21,0.67,0.564,0.564,0.325,0.293,0.299,0.39299999999999996,0.368,0.366
18,0.639,0.08900000000000001,0.536,0.485,0.483,0.364,0.32299999999999995,0.33,0.41700000000000004,0.387,0.385
19,0.642,0.129,0.7140000000000001,0.637,0.639,0.444,0.37,0.375,0.67,0.617,0.619
20,0.631,0.168,0.611,0.5770000000000001,0.579,0.259,0.23600000000000002,0.23800000000000002,0.467,0.45299999999999996,0.455
21,0.507,0.235,0.526,0.524,0.524,0.294,0.298,0.295,1.0,1.0,1.0
22,0.62,0.336,0.5589999999999999,0.498,0.505,0.23600000000000002,0.225,0.231,0.385,0.373,0.371
23,0.516,0.389,0.5870000000000001,0.53,0.529,0.285,0.257,0.263,0.493,0.503,0.502
24,0.573,0.11800000000000001,0.5589999999999999,0.527,0.526,0.34299999999999997,0.313,0.317,0.489,0.486,0.485
25,0.7190000000000001,0.254,0.594,0.494,0.483,0.244,0.231,0.233,0.46,0.45799999999999996,0.447
26,0.5489999999999999,0.353,0.501,0.461,0.465,0.23199999999999998,0.257,0.261,0.408,0.395,0.39299999999999996
27,0.581,0.075,0.564,0.501,0.501,0.39299999999999996,0.37200000000000005,0.37200000000000005,0.48100000000000004,0.402,0.402
28,0.634,0.134,0.385,0.254,0.257,0.228,0.187,0.18899999999999997,0.146,0.114,0.114
29,0.608,0.336,0.5770000000000001,0.514,0.522,0.258,0.248,0.252,0.475,0.46799999999999997,0.466
30,0.631,0.168,0.743,0.713,0.7120000000000001,0.268,0.285,0.28800000000000003,0.389,0.37799999999999995,0.377
31,0.557,0.39399999999999996,0.511,0.45799999999999996,0.485,0.276,0.25,0.263,0.462,0.46799999999999997,0.46
32,0.503,0.35,0.504,0.45299999999999996,0.457,0.38799999999999996,0.325,0.332,0.386,0.35700000000000004,0.358
33,0.5429999999999999,0.168,0.5710000000000001,0.455,0.45799999999999996,0.495,0.452,0.45299999999999996,0.446,0.406,0.40700000000000003
34,0.599,0.057,0.605,0.561,0.563,0.316,0.298,0.299,0.522,0.517,0.516
35,0.599,0.21100000000000002,0.535,0.466,0.466,0.297,0.258,0.261,0.46799999999999997,0.457,0.457
36,0.5,0.10800000000000001,0.6,0.616,0.611,0.447,0.396,0.408,0.65,0.585,0.5870000000000001
37,0.608,0.185,0.649,0.5770000000000001,0.575,0.326,0.29600000000000004,0.302,0.462,0.451,0.44799999999999995
38,0.575,0.271,0.501,0.455,0.45899999999999996,0.222,0.20800000000000002,0.213,0.389,0.35600000000000004,0.358
39,0.5529999999999999,0.09699999999999999,0.5489999999999999,0.489,0.488,0.39899999999999997,0.34700000000000003,0.35700000000000004,0.44,0.441,0.43799999999999994
40,0.5379999999999999,0.102,0.55,0.494,0.507,0.32299999999999995,0.32299999999999995,0.335,0.434,0.428,0.42700000000000005
41,0.5720000000000001,0.168,0.515,0.473,0.48100000000000004,0.348,0.305,0.32,0.40700000000000003,0.38799999999999996,0.386
42,0.5579999999999999,0.555,0.5760000000000001,0.535,0.534,0.256,0.24600000000000002,0.24600000000000002,0.46299999999999997,0.446,0.446
43,0.636,0.252,0.706,0.669,0.6709999999999999,0.271,0.29100000000000004,0.28800000000000003,0.506,0.501,0.502
44,0.5870000000000001,0.929,0.606,0.5539999999999999,0.556,0.43700000000000006,0.289,0.297,0.5329999999999999,0.512,0.509
45,0.47600000000000003,0.11699999999999999,0.627,0.5770000000000001,0.578,0.41600000000000004,0.41,0.406,0.515,0.521,0.516
46,0.573,0.045,0.45899999999999996,0.45799999999999996,0.46299999999999997,0.389,0.365,0.37200000000000005,0.38,0.36700000000000005,0.366
47,0.557,0.63,0.514,0.484,0.49,0.29600000000000004,0.247,0.256,0.493,0.48100000000000004,0.48
48,0.612,0.331,0.537,0.495,0.501,0.239,0.22699999999999998,0.233,0.45299999999999996,0.445,0.444
49,0.537,0.11900000000000001,0.588,0.507,0.514,0.38299999999999995,0.321,0.332,0.47200000000000003,0.45399999999999996,0.45399999999999996
50,0.649,0.26899999999999996,0.522,0.47700000000000004,0.479,0.20800000000000002,0.209,0.212,0.434,0.415,0.41100000000000003
51,0.5820000000000001,0.135,0.5489999999999999,0.501,0.505,0.33399999999999996,0.304,0.314,0.423,0.429,0.426
52,0.55,0.168,0.733,0.63,0.63,0.389,0.35700000000000004,0.364,0.528,0.511,0.508
53,0.638,0.107,0.508,0.47600000000000003,0.478,0.397,0.36200000000000004,0.373,0.433,0.43,0.43
54,0.5539999999999999,0.059000000000000004,0.486,0.47700000000000004,0.475,0.366,0.35200000000000004,0.35600000000000004,0.41100000000000003,0.39299999999999996,0.389
55,0.716,0.084,0.5670000000000001,0.48200000000000004,0.48700000000000004,0.425,0.40399999999999997,0.414,0.39,0.374,0.376
56,0.54,0.109,0.589,0.5489999999999999,0.562,0.387,0.345,0.36,0.381,0.371,0.374
57,0.47100000000000003,0.39799999999999996,0.526,0.501,0.49700000000000005,0.204,0.193,0.195,0.258,0.253,0.254
58,0.5539999999999999,0.41700000000000004,0.486,0.501,0.5,0.271,0.256,0.258,0.654,0.6459999999999999,0.645
59,0.5820000000000001,0.057,0.561,0.524,0.531,0.366,0.34,0.348,0.5539999999999999,0.5489999999999999,0.55
60,0.529,0.075,0.5770000000000001,0.537,0.539,0.337,0.32799999999999996,0.337,0.41600000000000004,0.391,0.38799999999999996
61,0.517,0.511,0.596,0.5720000000000001,0.568,0.275,0.259,0.261,0.561,0.445,0.445
62,0.594,0.423,0.502,0.47600000000000003,0.479,0.28800000000000003,0.257,0.265,0.409,0.389,0.387
63,0.5589999999999999,0.336,0.662,0.5710000000000001,0.5760000000000001,0.297,0.268,0.27,0.457,0.431,0.43
64,0.506,0.46399999999999997,0.434,0.457,0.457,0.23600000000000002,0.16,0.161,0.22899999999999998,0.22,0.22
65,0.467,0.126,0.664,0.7040000000000001,0.7040000000000001,0.278,0.267,0.268,0.41700000000000004,0.401,0.39799999999999996
66,0.598,0.331,0.58,0.51,0.514,0.254,0.239,0.242,0.631,0.632,0.631
67,0.514,0.11199999999999999,0.655,0.579,0.579,0.33299999999999996,0.29,0.293,0.446,0.43700000000000006,0.435
