,"ex-en,en-en","ls-sto,sto-li",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.614,0.311,0.509,0.478,0.479,0.303,0.28,0.287,0.5579999999999999,0.524,0.522
1,0.599,0.396,0.655,0.5479999999999999,0.544,0.261,0.22,0.221,0.541,0.49700000000000005,0.498
2,0.604,0.441,0.39799999999999996,0.377,0.375,0.272,0.23399999999999999,0.239,0.23600000000000002,0.281,0.273
3,0.565,0.569,0.564,0.506,0.504,0.222,0.217,0.217,0.49200000000000005,0.461,0.466
4,0.462,0.9329999999999999,0.54,0.45299999999999996,0.45299999999999996,0.21100000000000002,0.16699999999999998,0.171,0.40399999999999997,0.392,0.39
5,0.5720000000000001,0.478,0.521,0.45299999999999996,0.45399999999999996,0.237,0.225,0.22899999999999998,0.672,0.6629999999999999,0.66
6,0.589,0.311,0.565,0.51,0.512,0.315,0.295,0.3,0.491,0.465,0.466
7,0.657,0.311,0.631,0.547,0.544,0.306,0.272,0.27899999999999997,0.573,0.528,0.527
8,0.525,0.311,0.517,0.466,0.46799999999999997,0.35700000000000004,0.324,0.32899999999999996,0.41700000000000004,0.414,0.414
9,0.489,0.22399999999999998,0.495,0.433,0.434,0.32299999999999995,0.295,0.3,0.297,0.295,0.29600000000000004
10,0.7809999999999999,0.669,0.583,0.541,0.545,0.218,0.212,0.213,0.40700000000000003,0.379,0.38
11,0.556,0.168,0.469,0.457,0.457,0.342,0.307,0.309,0.355,0.32799999999999996,0.32899999999999996
12,0.615,0.311,0.67,0.529,0.526,0.252,0.251,0.257,0.39,0.348,0.349
13,0.583,0.466,0.518,0.41600000000000004,0.428,0.235,0.22699999999999998,0.244,0.43,0.41100000000000003,0.415
14,0.359,0.21899999999999997,0.489,0.42700000000000005,0.43,0.305,0.272,0.27699999999999997,0.381,0.34700000000000003,0.348
15,0.623,0.40299999999999997,0.564,0.494,0.498,0.304,0.268,0.273,0.345,0.361,0.36
16,0.5670000000000001,0.622,0.6629999999999999,0.5589999999999999,0.5589999999999999,0.222,0.21600000000000003,0.21600000000000003,0.452,0.439,0.439
17,0.6409999999999999,0.272,0.425,0.429,0.423,0.248,0.225,0.23199999999999998,0.29600000000000004,0.3,0.301
18,0.517,0.21899999999999997,0.49700000000000005,0.452,0.449,0.294,0.263,0.267,0.33,0.316,0.315
19,0.562,0.271,0.509,0.45799999999999996,0.457,0.28800000000000003,0.27,0.272,0.28600000000000003,0.262,0.256
20,0.6859999999999999,0.39899999999999997,0.624,0.546,0.546,0.25,0.23399999999999999,0.23600000000000002,0.442,0.425,0.431
21,0.58,0.33899999999999997,0.59,0.519,0.523,0.29100000000000004,0.297,0.297,0.483,0.48,0.48200000000000004
22,0.63,0.256,0.586,0.49200000000000005,0.49200000000000005,0.314,0.3,0.308,0.46799999999999997,0.446,0.446
23,0.433,0.39399999999999996,0.5660000000000001,0.509,0.511,0.252,0.21600000000000003,0.22,0.267,0.267,0.262
24,0.57,0.354,0.573,0.55,0.5479999999999999,0.231,0.23199999999999998,0.23199999999999998,0.47200000000000003,0.48200000000000004,0.48200000000000004
25,0.42100000000000004,0.155,0.514,0.44299999999999995,0.444,0.32,0.304,0.307,0.25,0.252,0.251
26,0.44,0.311,0.537,0.49200000000000005,0.49,0.262,0.23,0.231,0.524,0.518,0.517
27,0.6779999999999999,0.475,0.596,0.47,0.475,0.264,0.248,0.255,0.47,0.45399999999999996,0.452
28,0.5429999999999999,0.418,0.677,0.496,0.495,0.358,0.28300000000000003,0.29100000000000004,0.39299999999999996,0.366,0.366
29,0.705,0.39899999999999997,0.613,0.529,0.528,0.21,0.218,0.22,0.37200000000000005,0.377,0.377
30,0.5710000000000001,0.18899999999999997,0.48,0.43,0.43200000000000005,0.26,0.261,0.273,0.479,0.47,0.47100000000000003
31,0.506,0.391,0.581,0.545,0.55,0.258,0.256,0.261,0.46,0.44299999999999995,0.444
32,0.597,0.23,0.599,0.569,0.568,0.359,0.316,0.321,0.513,0.526,0.525
33,0.665,0.214,0.63,0.488,0.49,0.28600000000000003,0.26,0.268,0.406,0.365,0.349
34,0.648,0.41700000000000004,0.6729999999999999,0.5770000000000001,0.5760000000000001,0.23,0.222,0.222,0.45799999999999996,0.455,0.45399999999999996
35,0.5670000000000001,0.311,0.5660000000000001,0.541,0.541,0.28,0.249,0.252,0.371,0.359,0.35700000000000004
36,0.586,0.25,0.43200000000000005,0.428,0.429,0.268,0.233,0.239,0.331,0.315,0.314
37,0.615,0.311,0.493,0.40399999999999997,0.406,0.268,0.252,0.259,0.345,0.312,0.315
38,0.622,0.223,0.586,0.502,0.505,0.36700000000000005,0.32299999999999995,0.33399999999999996,0.495,0.48200000000000004,0.47700000000000004
39,0.638,0.207,0.515,0.41700000000000004,0.414,0.24,0.23800000000000002,0.244,0.225,0.217,0.214
40,0.6829999999999999,0.326,0.605,0.551,0.551,0.33799999999999997,0.306,0.309,0.6579999999999999,0.664,0.665
41,0.574,0.47,0.512,0.493,0.49200000000000005,0.27,0.258,0.26,0.455,0.441,0.441
42,0.606,0.311,0.457,0.41600000000000004,0.413,0.28,0.243,0.243,0.245,0.24100000000000002,0.24100000000000002
43,0.406,0.147,0.54,0.48100000000000004,0.47700000000000004,0.353,0.348,0.35,0.39,0.366,0.368
44,0.445,0.629,0.63,0.5760000000000001,0.5770000000000001,0.27399999999999997,0.235,0.239,0.35100000000000003,0.342,0.344
45,0.601,0.302,0.493,0.444,0.44299999999999995,0.364,0.345,0.348,0.368,0.345,0.345
46,0.639,0.142,0.35100000000000003,0.342,0.342,0.24100000000000002,0.21600000000000003,0.222,0.27899999999999997,0.251,0.254
47,0.466,0.37,0.493,0.449,0.45399999999999996,0.245,0.228,0.235,0.242,0.233,0.235
48,0.604,0.41200000000000003,0.617,0.523,0.524,0.374,0.293,0.303,0.581,0.5479999999999999,0.551
49,0.64,0.518,0.767,0.725,0.7240000000000001,0.28300000000000003,0.294,0.293,0.489,0.462,0.466
50,0.522,1.0,0.621,0.541,0.5429999999999999,0.20800000000000002,0.201,0.198,0.48,0.43,0.43
51,0.67,0.23800000000000002,0.484,0.408,0.41200000000000003,0.24600000000000002,0.223,0.228,0.276,0.271,0.27
52,0.5770000000000001,0.439,0.597,0.517,0.517,0.249,0.221,0.22699999999999998,0.392,0.382,0.381
53,0.5720000000000001,0.631,0.609,0.503,0.5,0.245,0.231,0.23199999999999998,0.425,0.40399999999999997,0.405
54,0.6809999999999999,0.7290000000000001,0.64,0.645,0.642,0.32799999999999996,0.305,0.313,0.409,0.40299999999999997,0.39799999999999996
55,0.6509999999999999,0.155,0.603,0.409,0.413,0.27399999999999997,0.312,0.312,0.45799999999999996,0.429,0.429
56,0.53,0.217,0.409,0.41200000000000003,0.41100000000000003,0.38,0.374,0.37,0.38,0.38,0.377
57,0.652,0.244,0.377,0.384,0.386,0.311,0.3,0.302,0.523,0.503,0.504
58,0.642,0.353,0.49,0.462,0.45899999999999996,0.27399999999999997,0.248,0.256,0.469,0.44799999999999995,0.452
59,0.7070000000000001,0.431,0.515,0.498,0.501,0.313,0.264,0.26899999999999996,0.38799999999999996,0.37,0.37200000000000005
60,0.555,0.614,0.619,0.5,0.501,0.23399999999999999,0.23199999999999998,0.231,0.364,0.322,0.32
61,0.6659999999999999,0.266,0.41600000000000004,0.385,0.39,0.268,0.252,0.257,0.34299999999999997,0.29600000000000004,0.29600000000000004
62,0.772,0.311,0.425,0.455,0.45399999999999996,0.209,0.192,0.192,0.445,0.41,0.408
63,0.518,0.45899999999999996,0.637,0.531,0.525,0.221,0.235,0.23399999999999999,0.53,0.489,0.489
64,0.601,0.376,0.67,0.467,0.475,0.268,0.272,0.28,0.45899999999999996,0.419,0.42200000000000004
65,0.618,0.466,0.47,0.436,0.433,0.284,0.244,0.245,0.255,0.248,0.248
66,0.648,0.45,0.619,0.546,0.552,0.3,0.258,0.265,0.631,0.593,0.588
67,0.507,0.305,0.5379999999999999,0.467,0.465,0.27,0.24600000000000002,0.252,0.39899999999999997,0.391,0.39299999999999996
68,0.611,0.179,0.35700000000000004,0.35,0.35,0.255,0.226,0.235,0.32899999999999996,0.307,0.309
69,0.409,0.122,0.617,0.5539999999999999,0.557,0.332,0.31,0.318,0.28,0.276,0.276
70,0.632,0.7070000000000001,0.5770000000000001,0.502,0.499,0.303,0.26899999999999996,0.272,0.387,0.371,0.37200000000000005
71,0.644,0.196,0.616,0.557,0.5579999999999999,0.34,0.307,0.309,0.442,0.444,0.444
72,0.565,0.486,0.569,0.489,0.49200000000000005,0.312,0.27899999999999997,0.282,0.5529999999999999,0.53,0.531
73,0.6729999999999999,0.5670000000000001,0.5660000000000001,0.534,0.535,0.273,0.266,0.266,0.47100000000000003,0.456,0.457
74,0.619,0.486,0.6779999999999999,0.628,0.628,0.214,0.204,0.209,0.36700000000000005,0.365,0.365
75,0.518,0.19699999999999998,0.743,0.7140000000000001,0.715,0.299,0.275,0.27899999999999997,0.325,0.321,0.322
76,0.62,0.8440000000000001,0.545,0.467,0.465,0.218,0.215,0.215,0.447,0.391,0.391
77,0.555,0.295,0.613,0.5489999999999999,0.5489999999999999,0.32,0.301,0.303,0.429,0.418,0.419
78,0.653,0.142,0.653,0.726,0.728,0.33399999999999996,0.34,0.341,0.461,0.452,0.44799999999999995
79,0.727,0.311,0.508,0.47600000000000003,0.47700000000000004,0.27899999999999997,0.255,0.26,0.449,0.44,0.441
80,0.494,0.24,0.695,0.542,0.541,0.276,0.249,0.254,0.40700000000000003,0.349,0.348
81,0.6559999999999999,0.544,0.456,0.441,0.44299999999999995,0.21,0.21600000000000003,0.217,0.40299999999999997,0.363,0.363
82,0.677,0.221,0.562,0.498,0.499,0.32,0.292,0.29600000000000004,0.452,0.423,0.424
83,0.544,0.311,0.619,0.56,0.561,0.302,0.285,0.287,0.536,0.52,0.521
84,0.7020000000000001,0.21,0.488,0.508,0.509,0.32899999999999996,0.314,0.322,0.401,0.396,0.39299999999999996
85,0.552,0.311,0.6729999999999999,0.599,0.599,0.337,0.318,0.32,0.493,0.466,0.465
86,0.665,0.414,0.625,0.552,0.5489999999999999,0.223,0.23600000000000002,0.24100000000000002,0.39299999999999996,0.365,0.368
87,0.5720000000000001,0.345,0.556,0.45399999999999996,0.452,0.28800000000000003,0.267,0.268,0.452,0.423,0.42200000000000004
88,0.565,0.185,0.6629999999999999,0.5670000000000001,0.5660000000000001,0.31,0.28,0.281,0.301,0.28600000000000003,0.287
