,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,chosensame/same82/same03931.png,120.702,18.111,17.088,15.264,31.78,20.396,50.0,49.729,25.02,27.893,30.232,46.043,85.094,161.078,221.183,138.091,54.037,44.011,58.0,260.204,202.549,113.6,89.202,81.884,9.055,0.916,0.508,0.391,0.814,0.368,0.516,0.5,0.385,-0.16500000655651093,0.3619999885559082,0.741,0.665,0.666,0.328,0.346,0.363,0.623,0.591,0.591
1,chosensame/same82/same03621.png,131.244,19.105,18.439,17.464,41.012,19.0,43.932,42.012,28.16,23.259,27.785,48.374,84.593,153.222,220.484,144.014,58.856,44.407,68.0,270.185,202.247,112.004,90.449,71.028,23.087,0.917,0.464,0.409,0.755,0.404,0.535,1.208,0.384,-0.07100000232458115,0.27399998903274536,0.691,0.568,0.575,0.271,0.279,0.293,0.547,0.438,0.441
2,chosensame/same82/same00401.png,120.033,17.464,22.204,20.591,32.14,23.0,43.417,41.11,27.459,26.926,29.732,46.573,86.585,165.94,228.484,142.369,56.045,46.098,72.0,271.662,200.26,112.539,88.074,80.399,11.402,0.876,0.485,0.394,0.823,0.464,0.529,0.653,0.379,-0.12800000607967377,0.2669999897480011,0.601,0.486,0.493,0.301,0.302,0.314,0.496,0.398,0.398
3,chosensame/same82/same00881.png,126.194,19.026,24.759,21.095,33.061,18.248,41.304,37.054,23.345,29.155,34.886,50.804,79.624,151.585,225.73,143.199,60.017,44.102,90.0,292.043,202.062,109.073,93.434,76.026,9.22,0.895,0.502,0.419,0.735,0.52,0.544,0.485,0.353,0.10000000149011612,0.32899999618530273,0.523,0.52,0.524,0.337,0.333,0.349,0.517,0.442,0.445
4,chosensame/same82/same00741.png,125.766,16.279,16.763,13.454,36.139,22.136,50.04,50.329,25.179,31.401,34.409,48.166,88.363,157.029,218.916,133.843,52.345,42.048,84.0,290.629,207.694,118.127,89.805,82.0,11.045,0.949,0.522,0.391,0.803,0.359,0.536,0.678,0.404,0.10100000351667404,0.2939999997615814,0.733,0.628,0.631,0.326,0.335,0.348,0.616,0.561,0.559
5,chosensame/same82/same03971.png,129.062,21.024,17.205,16.553,37.054,24.021,49.82,49.092,26.077,27.857,29.967,44.181,84.291,159.022,220.311,140.801,55.326,43.417,73.0,284.002,211.002,119.105,92.195,82.055,15.033,0.958,0.516,0.393,0.785,0.389,0.479,0.715,0.383,-0.34599998593330383,0.27300000190734863,0.651,0.622,0.63,0.289,0.284,0.299,0.569,0.444,0.445
6,chosensame/same82/same01721.png,134.034,18.111,20.518,18.358,42.19,21.378,44.553,40.05,27.295,25.08,30.529,48.508,87.476,154.029,227.126,141.421,57.559,44.407,89.0,300.015,211.021,119.067,92.266,77.0,23.0,0.929,0.5,0.407,0.772,0.438,0.526,1.27,0.385,0.0860000029206276,0.328000009059906,0.719,0.586,0.594,0.299,0.293,0.307,0.587,0.475,0.476
7,chosensame/same82/same01021.png,131.973,18.111,14.866,13.892,43.174,17.263,52.038,53.935,28.071,23.087,28.32,50.01,92.266,153.013,218.021,134.004,54.009,41.012,81.0,286.472,206.051,117.277,89.202,74.148,26.173,0.945,0.485,0.403,0.759,0.351,0.561,1.445,0.423,-0.2770000100135803,0.3140000104904175,0.767,0.685,0.685,0.267,0.268,0.282,0.611,0.501,0.503
8,chosensame/same82/same02421.png,127.883,18.111,18.385,17.889,46.043,29.069,49.649,47.0,25.179,24.187,26.926,43.566,81.744,165.738,222.463,139.743,53.759,44.911,62.0,272.734,210.95,129.19,82.037,83.15,26.077,0.948,0.502,0.385,0.835,0.404,0.531,1.44,0.367,0.04699999839067459,0.29499998688697815,0.633,0.522,0.53,0.265,0.253,0.266,0.523,0.452,0.45
9,chosensame/same82/same03991.png,128.996,25.08,24.083,23.022,40.05,25.02,50.448,51.245,23.345,24.187,27.313,43.738,74.525,160.639,222.8,144.014,53.935,47.518,85.0,293.682,208.959,120.15,89.107,80.1,21.213,0.938,0.499,0.375,0.881,0.496,0.491,0.846,0.334,0.017000000923871994,0.31700000166893005,0.56,0.486,0.492,0.287,0.264,0.277,0.485,0.387,0.386
10,chosensame/same82/same01071.png,128.0,17.0,19.209,19.209,40.112,24.331,43.186,43.417,23.022,31.623,32.696,45.011,84.149,157.835,220.005,138.13,53.038,44.045,72.0,282.016,210.021,122.147,88.051,82.055,14.0,0.955,0.52,0.384,0.83,0.436,0.511,0.824,0.382,-0.36000001430511475,0.328000009059906,0.656,0.54,0.548,0.326,0.306,0.319,0.569,0.554,0.555
11,chosensame/same82/same01221.png,125.16,16.279,21.401,19.235,38.0,20.025,42.72,40.311,28.443,23.324,28.178,48.508,98.27,165.245,238.43,143.611,58.941,43.566,90.0,291.446,202.092,114.63,87.664,76.942,20.224,0.848,0.466,0.41,0.739,0.466,0.553,1.242,0.412,-0.3869999945163727,0.2770000100135803,0.601,0.491,0.496,0.255,0.267,0.276,0.498,0.396,0.398
12,chosensame/same82/same02981.png,129.757,18.111,20.518,19.723,40.012,22.091,44.922,44.0,26.077,32.696,34.785,47.676,85.0,163.918,218.689,145.527,59.034,44.721,53.0,268.745,215.928,126.194,89.944,86.209,12.166,0.987,0.526,0.406,0.758,0.45,0.53,0.672,0.389,-0.03999999910593033,0.24699999392032623,0.58,0.486,0.494,0.293,0.297,0.311,0.476,0.375,0.377
13,chosensame/same82/same03891.png,123.762,16.492,16.763,14.866,33.526,19.647,49.163,50.695,25.495,28.443,30.61,46.53,83.024,162.604,221.903,140.293,56.569,42.107,79.0,283.283,205.548,115.209,90.427,81.786,10.44,0.926,0.503,0.403,0.744,0.376,0.515,0.633,0.374,-0.024000000208616257,0.3269999921321869,0.705,0.602,0.61,0.326,0.333,0.352,0.644,0.563,0.565
14,chosensame/same82/same01201.png,126.321,17.117,21.213,19.235,41.049,20.224,52.612,50.01,32.14,21.095,25.807,51.478,104.235,162.742,227.2,138.051,53.6,44.011,81.0,286.342,205.477,120.037,85.709,79.158,27.019,0.904,0.486,0.388,0.821,0.46,0.601,1.578,0.459,0.09700000286102295,0.27900001406669617,0.612,0.505,0.513,0.221,0.244,0.25,0.512,0.422,0.422
15,chosensame/same82/same01971.png,130.004,16.031,15.264,13.416,47.381,25.71,50.01,47.676,27.074,23.409,28.018,47.17,93.263,160.823,221.903,130.246,51.157,41.304,91.0,301.002,210.002,127.142,83.15,80.0,29.017,0.946,0.497,0.393,0.807,0.347,0.567,1.81,0.42,-0.05299999937415123,0.3440000116825104,0.762,0.678,0.682,0.257,0.266,0.275,0.55,0.529,0.53
16,chosensame/same82/same00731.png,121.926,20.1,16.155,13.601,37.656,19.925,49.01,48.384,27.019,21.541,26.173,51.039,85.147,152.053,222.441,134.373,55.227,41.0,107.0,307.467,201.249,117.085,84.38,79.429,23.022,0.905,0.522,0.411,0.742,0.363,0.605,1.145,0.383,-0.257999986410141,0.3009999990463257,0.771,0.671,0.676,0.286,0.288,0.299,0.638,0.584,0.582
17,chosensame/same82/same02201.png,135.37,19.026,16.125,15.264,47.676,22.361,48.26,44.721,29.017,24.042,29.206,48.01,87.006,157.258,223.143,139.014,55.009,43.046,74.0,287.446,213.6,125.782,88.023,78.23,28.071,0.957,0.497,0.396,0.783,0.365,0.545,1.475,0.39,0.13899999856948853,0.29499998688697815,0.739,0.636,0.641,0.258,0.26,0.273,0.598,0.518,0.52
18,chosensame/same82/same00091.png,144.347,21.213,16.401,16.763,45.177,23.345,57.07,55.082,32.14,26.0,32.45,54.745,93.904,173.416,251.857,147.513,58.694,48.27,89.0,316.457,227.636,128.035,99.985,83.295,25.08,0.904,0.48,0.398,0.822,0.344,0.548,1.182,0.373,-0.09700000286102295,0.4490000009536743,0.748,0.651,0.654,0.252,0.258,0.272,0.474,0.394,0.396
19,chosensame/same82/same00471.png,130.541,15.297,20.616,20.125,46.0,22.0,44.922,41.195,28.443,24.187,29.547,47.297,90.244,164.976,231.387,138.741,55.082,43.738,70.0,276.742,207.331,122.495,85.376,76.792,26.077,0.896,0.465,0.397,0.794,0.466,0.554,1.705,0.39,-0.15600000321865082,0.2630000114440918,0.621,0.497,0.504,0.257,0.259,0.27,0.528,0.409,0.409
20,chosensame/same82/same01511.png,120.702,18.248,15.0,14.318,36.125,20.396,51.42,47.043,28.443,21.932,29.411,50.22,89.051,152.882,221.822,132.442,53.6,42.202,81.0,279.517,198.728,114.004,85.51,78.102,18.248,0.896,0.511,0.405,0.787,0.347,0.587,1.0,0.401,0.16899999976158142,0.3230000138282776,0.83,0.673,0.68,0.283,0.289,0.301,0.561,0.443,0.447
21,chosensame/same82/same01011.png,123.968,21.095,17.464,15.652,31.953,16.155,47.265,49.477,26.077,22.561,29.833,52.038,82.098,148.003,220.511,142.056,55.009,45.044,86.0,281.443,196.515,104.293,92.655,72.567,15.033,0.891,0.49,0.387,0.819,0.368,0.562,0.713,0.372,0.3070000112056732,0.31200000643730164,0.814,0.696,0.699,0.324,0.314,0.332,0.61,0.511,0.513
22,chosensame/same82/same00771.png,129.877,18.248,16.155,14.142,42.72,25.08,45.1,45.222,28.16,24.331,29.0,45.177,85.709,154.392,219.037,130.863,53.339,41.11,93.0,309.104,217.007,129.634,87.573,87.132,23.195,0.991,0.564,0.408,0.771,0.368,0.516,1.271,0.391,-0.14499999582767487,0.33399999141693115,0.742,0.634,0.64,0.304,0.302,0.315,0.597,0.586,0.585
23,chosensame/same82/same03271.png,127.283,19.235,23.431,21.954,38.21,20.1,42.202,40.447,27.659,26.077,29.732,45.607,87.092,154.029,221.289,146.294,57.567,46.098,86.0,287.785,202.544,113.635,89.269,75.425,17.464,0.915,0.49,0.394,0.801,0.492,0.511,0.908,0.394,0.07699999958276749,0.3059999942779541,0.555,0.468,0.475,0.285,0.278,0.29,0.496,0.388,0.388
24,chosensame/same82/same01151.png,112.872,18.111,17.029,15.232,25.0,20.1,54.129,53.038,28.443,20.809,24.698,49.031,94.594,162.388,241.506,135.713,53.367,43.566,94.0,288.39,194.579,107.005,88.119,82.006,10.198,0.806,0.505,0.393,0.816,0.37,0.556,0.563,0.392,-0.013000000268220901,0.2930000126361847,0.765,0.607,0.612,0.264,0.278,0.291,0.472,0.394,0.394
25,chosensame/same82/same02461.png,131.24,20.224,24.839,23.022,39.013,26.019,65.924,63.285,24.331,27.313,31.385,42.953,81.786,158.24,220.966,141.792,52.393,47.265,79.0,289.171,210.611,118.343,92.574,79.404,16.492,0.953,0.502,0.37,0.902,0.506,0.464,0.815,0.37,0.1459999978542328,0.3190000057220459,0.571,0.461,0.463,0.297,0.291,0.306,0.476,0.409,0.408
