,filename,n-sto,sto-li,ps-pi1,ps-pi2,sn-sto,sn-c,or-pi1,or-pi2,cph-cph,sbal-ls1,sbal-ls2,al-al,ch-ch,go-go,zy-zy,ex-ex,en-en,ex-en,tn-n,tn-gn,n-gn,sn-gn,n-sn,sto-gn,ls-sto,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",DD,EOS,cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,chosensame/same178/same00401.png,148.071,24.331,23.707,27.586,50.488,23.022,52.953,58.215,29.833,38.601,36.62,65.253,113.053,168.291,255.22,174.416,77.878,45.31,53.0,267.434,215.035,117.72,97.745,67.268,20.396,0.843,0.4,0.447,0.582,0.566,0.668,0.838,0.443,0.5649999976158142,0.47999998927116394,0.519,0.563,0.566,0.271,0.313,0.329,0.731,0.699,0.697
1,chosensame/same178/same00881.png,169.027,27.0,21.024,22.472,66.0,25.179,63.071,66.068,29.017,37.577,37.59,68.118,110.368,168.077,259.156,177.071,82.024,44.407,78.0,311.002,233.002,130.015,103.044,64.031,37.0,0.899,0.381,0.463,0.541,0.49,0.661,1.37,0.426,0.5979999899864197,0.4690000116825104,0.621,0.634,0.636,0.259,0.293,0.306,0.548,0.51,0.508
2,chosensame/same178/same00741.png,161.012,28.0,28.601,27.803,59.008,26.019,61.0,66.121,29.017,38.484,38.949,68.066,107.229,171.292,264.068,185.068,82.024,50.804,104.0,333.0,229.0,127.004,102.005,68.029,29.0,0.867,0.397,0.443,0.619,0.555,0.667,1.036,0.406,0.4690000116825104,0.527999997138977,0.513,0.578,0.583,0.301,0.323,0.34,0.556,0.521,0.52
3,chosensame/same178/same01721.png,135.624,19.105,29.069,29.411,37.656,24.739,53.009,57.723,27.166,36.892,36.77,67.067,106.677,183.025,259.494,183.393,77.233,51.478,86.0,283.019,197.464,99.639,98.184,61.984,9.849,0.761,0.339,0.421,0.667,0.568,0.683,0.516,0.411,0.6949999928474426,0.4819999933242798,0.457,0.527,0.534,0.399,0.398,0.401,0.401,0.391,0.388
4,chosensame/same178/same01021.png,149.272,28.018,26.249,27.459,50.09,23.77,49.092,57.28,25.02,37.121,37.577,63.008,94.085,158.155,258.234,173.234,74.108,46.39,75.0,290.759,216.023,116.966,99.182,67.082,21.095,0.837,0.424,0.428,0.626,0.579,0.635,0.753,0.364,0.5820000171661377,0.5009999871253967,0.51,0.561,0.564,0.294,0.336,0.353,0.423,0.409,0.405
5,chosensame/same178/same02421.png,148.071,24.331,24.083,23.77,48.27,28.636,63.325,66.219,23.77,35.609,37.0,67.082,100.225,165.097,254.757,176.148,76.688,46.39,83.0,306.615,225.322,125.686,99.825,77.492,20.881,0.884,0.469,0.435,0.605,0.516,0.672,0.858,0.393,0.531000018119812,0.515999972820282,0.528,0.548,0.552,0.318,0.342,0.357,0.418,0.397,0.395
6,chosensame/same178/same01071.png,145.003,26.0,26.401,30.0,47.011,26.683,48.166,56.515,27.019,40.249,38.91,67.119,113.159,167.431,264.0,178.0,77.0,47.676,120.0,338.29,218.449,120.814,98.0,74.148,16.0,0.827,0.443,0.433,0.619,0.592,0.685,0.615,0.429,0.625,0.5289999842643738,0.497,0.541,0.546,0.303,0.338,0.351,0.425,0.434,0.43
7,chosensame/same178/same01221.png,116.039,20.1,25.0,25.0,36.222,14.866,59.034,59.211,26.173,21.401,18.439,54.0,94.26,157.08,247.032,169.047,71.028,47.265,108.0,281.114,173.185,93.434,80.006,57.219,28.018,0.701,0.364,0.42,0.665,0.529,0.675,1.394,0.382,0.05299999937415123,0.5320000052452087,0.536,0.56,0.567,0.349,0.339,0.338,0.497,0.471,0.468
8,chosensame/same178/same02981.png,149.482,29.017,25.612,26.42,44.283,24.331,64.281,66.91,31.016,35.511,35.777,69.029,111.072,173.0,263.549,186.325,83.15,50.249,92.0,312.578,220.819,115.624,105.233,71.344,19.235,0.838,0.412,0.446,0.604,0.518,0.656,0.663,0.421,0.4399999976158142,0.4569999873638153,0.584,0.587,0.592,0.301,0.319,0.336,0.467,0.449,0.448
9,chosensame/same178/same01201.png,152.329,27.074,24.839,26.926,50.09,27.203,61.984,67.897,25.0,39.357,39.395,66.0,104.0,166.075,263.759,176.182,79.057,45.277,121.0,343.984,223.517,121.495,102.24,71.805,19.105,0.847,0.432,0.449,0.573,0.572,0.646,0.706,0.394,0.46700000762939453,0.546999990940094,0.531,0.562,0.564,0.29,0.326,0.341,0.479,0.454,0.453
