,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.352,0.055,0.055,0.154,0.154,0.077,0.138,0.061,0.063,0.097,0.103,0.199,0.765,0.566,0.352,0.644,0.475,0.2,0.413,0.215,0.168,0.26,0.857,0.453,0.484,0.46,0.598,0.781,0.198,0.404,0.743,0.553,0.552,0.209,0.194,0.197,0.403,0.345,0.346
1,0.371,0.069,0.062,0.151,0.159,0.081,0.169,0.062,0.071,0.095,0.091,0.194,0.779,0.584,0.383,0.628,0.451,0.168,0.407,0.203,0.151,0.257,0.906,0.475,0.413,0.744,0.524,0.744,0.284,0.409,0.386,0.38,0.378,0.177,0.184,0.185,0.393,0.391,0.385
2,0.335,0.046,0.042,0.151,0.146,0.081,0.138,0.046,0.046,0.089,0.085,0.262,0.807,0.545,0.348,0.59,0.401,0.157,0.328,0.197,0.118,0.19,0.901,0.524,0.479,0.586,0.478,0.599,0.284,0.322,0.73,0.546,0.548,0.256,0.238,0.243,0.555,0.602,0.599
3,0.355,0.042,0.029,0.147,0.132,0.077,0.132,0.054,0.053,0.083,0.095,0.236,0.776,0.541,0.319,0.63,0.399,0.158,0.328,0.223,0.144,0.21,0.837,0.471,0.482,0.589,0.382,0.646,0.194,0.333,0.852,0.714,0.716,0.267,0.261,0.266,0.621,0.579,0.579
4,0.367,0.043,0.043,0.135,0.137,0.077,0.135,0.058,0.097,0.086,0.086,0.155,0.754,0.599,0.367,0.657,0.503,0.193,0.464,0.232,0.194,0.309,0.889,0.461,0.416,0.699,0.319,0.836,0.198,0.47,0.701,0.62,0.62,0.22,0.229,0.232,0.527,0.437,0.438
5,0.331,0.041,0.046,0.131,0.139,0.066,0.131,0.049,0.042,0.093,0.095,0.295,0.794,0.5,0.304,0.608,0.389,0.147,0.344,0.201,0.139,0.189,0.801,0.45,0.427,0.612,0.483,0.692,0.198,0.311,0.626,0.496,0.494,0.247,0.243,0.244,0.434,0.403,0.401
6,0.319,0.046,0.04,0.12,0.112,0.068,0.105,0.049,0.056,0.093,0.096,0.287,0.806,0.519,0.308,0.592,0.404,0.136,0.319,0.217,0.136,0.239,0.855,0.502,0.426,0.765,0.413,0.627,0.101,0.404,0.548,0.501,0.5,0.278,0.272,0.272,0.489,0.439,0.434
7,0.348,0.035,0.042,0.099,0.104,0.068,0.144,0.055,0.055,0.096,0.085,0.275,0.8,0.528,0.323,0.6,0.363,0.137,0.291,0.204,0.137,0.192,0.858,0.496,0.471,0.526,0.535,0.672,0.259,0.32,0.726,0.687,0.681,0.227,0.261,0.265,0.463,0.459,0.46
8,0.331,0.056,0.059,0.119,0.134,0.054,0.118,0.053,0.067,0.088,0.088,0.21,0.75,0.541,0.329,0.661,0.463,0.186,0.402,0.214,0.158,0.266,0.797,0.454,0.463,0.57,0.542,0.738,0.146,0.402,0.422,0.413,0.415,0.219,0.262,0.265,0.453,0.373,0.373
9,0.343,0.049,0.057,0.127,0.137,0.05,0.128,0.05,0.069,0.076,0.066,0.313,0.795,0.482,0.269,0.607,0.392,0.177,0.401,0.215,0.147,0.265,0.774,0.365,0.441,0.616,0.486,0.684,0.309,0.437,0.305,0.404,0.401,0.192,0.206,0.206,0.453,0.36,0.363
10,0.378,0.049,0.073,0.155,0.154,0.069,0.154,0.034,0.069,0.086,0.077,0.189,0.772,0.584,0.361,0.635,0.463,0.154,0.429,0.224,0.154,0.292,0.897,0.447,0.359,0.89,0.445,0.688,0.501,0.46,0.407,0.467,0.468,0.191,0.211,0.214,0.517,0.438,0.434
11,0.319,0.055,0.056,0.109,0.115,0.062,0.104,0.043,0.059,0.09,0.09,0.248,0.755,0.509,0.294,0.655,0.44,0.147,0.356,0.216,0.126,0.231,0.757,0.434,0.413,0.776,0.487,0.583,0.143,0.353,0.396,0.441,0.446,0.254,0.261,0.263,0.355,0.302,0.301
12,0.339,0.058,0.055,0.133,0.136,0.062,0.114,0.061,0.082,0.08,0.078,0.235,0.788,0.554,0.329,0.615,0.461,0.186,0.413,0.225,0.165,0.287,0.878,0.466,0.45,0.608,0.5,0.733,0.201,0.467,0.55,0.489,0.491,0.165,0.22,0.224,0.405,0.335,0.334
13,0.388,0.043,0.042,0.133,0.122,0.062,0.173,0.052,0.082,0.082,0.096,0.193,0.754,0.562,0.346,0.657,0.438,0.184,0.409,0.217,0.174,0.317,0.833,0.397,0.45,0.663,0.348,0.802,0.427,0.482,0.597,0.5,0.503,0.15,0.194,0.196,0.477,0.369,0.37
14,0.335,0.051,0.05,0.168,0.167,0.071,0.124,0.062,0.045,0.087,0.091,0.299,0.82,0.521,0.311,0.573,0.388,0.176,0.388,0.212,0.141,0.203,0.886,0.485,0.454,0.602,0.476,0.665,0.169,0.354,0.631,0.426,0.431,0.242,0.229,0.235,0.485,0.397,0.401
15,0.356,0.053,0.05,0.135,0.135,0.075,0.12,0.06,0.082,0.089,0.089,0.202,0.79,0.587,0.352,0.614,0.446,0.183,0.408,0.236,0.161,0.281,0.932,0.52,0.449,0.634,0.444,0.682,0.175,0.458,0.536,0.46,0.462,0.185,0.203,0.205,0.526,0.431,0.434
16,0.367,0.059,0.064,0.147,0.147,0.066,0.131,0.057,0.082,0.091,0.095,0.163,0.766,0.603,0.367,0.643,0.456,0.196,0.44,0.236,0.179,0.302,0.914,0.518,0.445,0.628,0.5,0.758,0.202,0.47,0.51,0.477,0.475,0.191,0.226,0.228,0.487,0.435,0.435
