,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.29,0.052,0.058,0.117,0.128,0.046,0.046,0.035,0.07,0.068,0.068,0.313,0.789,0.476,0.233,0.615,0.43,0.162,0.371,0.244,0.128,0.245,0.725,0.435,0.437,0.622,0.514,0.525,0.058,0.398,0.521,0.458,0.458,0.362,0.322,0.328,0.34,0.326,0.328
1,0.355,0.065,0.057,0.149,0.137,0.068,0.115,0.034,0.08,0.073,0.072,0.205,0.776,0.571,0.331,0.63,0.47,0.171,0.388,0.24,0.137,0.251,0.848,0.462,0.441,0.629,0.535,0.571,0.336,0.398,0.439,0.435,0.436,0.346,0.3,0.299,0.452,0.439,0.441
2,0.337,0.05,0.057,0.101,0.101,0.073,0.087,0.034,0.071,0.093,0.083,0.219,0.766,0.547,0.297,0.643,0.433,0.168,0.38,0.253,0.127,0.246,0.797,0.487,0.442,0.544,0.552,0.502,0.074,0.383,0.543,0.493,0.493,0.409,0.381,0.381,0.526,0.464,0.464
3,0.298,0.032,0.02,0.092,0.082,0.077,0.082,0.051,0.051,0.068,0.082,0.265,0.784,0.52,0.306,0.621,0.409,0.123,0.287,0.22,0.146,0.186,0.784,0.548,0.429,0.797,0.25,0.664,0.102,0.3,0.765,0.76,0.76,0.329,0.31,0.309,0.569,0.555,0.554
4,0.341,0.052,0.053,0.129,0.132,0.061,0.084,0.041,0.073,0.086,0.077,0.199,0.741,0.55,0.291,0.671,0.471,0.195,0.432,0.26,0.148,0.274,0.768,0.444,0.451,0.57,0.445,0.569,0.111,0.408,0.398,0.366,0.382,0.277,0.253,0.268,0.273,0.277,0.277
5,0.343,0.049,0.047,0.128,0.119,0.049,0.111,0.024,0.076,0.063,0.066,0.221,0.778,0.559,0.326,0.628,0.483,0.174,0.388,0.233,0.129,0.285,0.833,0.445,0.448,0.59,0.44,0.554,0.497,0.454,0.565,0.531,0.543,0.287,0.26,0.268,0.451,0.439,0.44
6,0.358,0.052,0.052,0.123,0.114,0.051,0.111,0.042,0.081,0.068,0.066,0.18,0.732,0.554,0.307,0.681,0.468,0.176,0.412,0.248,0.147,0.308,0.762,0.421,0.427,0.631,0.441,0.593,0.276,0.452,0.315,0.288,0.287,0.156,0.141,0.143,0.204,0.193,0.193
7,0.305,0.043,0.044,0.124,0.134,0.057,0.08,0.039,0.051,0.078,0.073,0.291,0.791,0.503,0.279,0.611,0.418,0.155,0.338,0.226,0.116,0.193,0.771,0.476,0.459,0.535,0.494,0.513,0.099,0.316,0.618,0.553,0.552,0.38,0.325,0.338,0.371,0.34,0.34
8,0.334,0.067,0.071,0.141,0.143,0.056,0.103,0.037,0.064,0.063,0.058,0.256,0.783,0.53,0.299,0.622,0.455,0.148,0.375,0.232,0.1,0.223,0.798,0.433,0.395,0.668,0.657,0.431,0.263,0.359,0.408,0.395,0.394,0.327,0.272,0.277,0.37,0.35,0.349
9,0.347,0.05,0.046,0.135,0.13,0.047,0.082,0.037,0.082,0.068,0.062,0.169,0.74,0.572,0.307,0.673,0.514,0.189,0.419,0.266,0.148,0.323,0.796,0.438,0.451,0.573,0.417,0.556,0.186,0.48,0.666,0.585,0.583,0.318,0.299,0.304,0.51,0.502,0.501
