,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.354,0.055,0.044,0.117,0.119,0.039,0.1,0.039,0.081,0.07,0.087,0.215,0.743,0.529,0.274,0.669,0.456,0.161,0.398,0.255,0.138,0.257,0.753,0.386,0.405,0.851,0.361,0.541,0.214,0.384,0.697,0.6,0.6,0.373,0.327,0.333,0.475,0.469,0.469
1,0.333,0.056,0.061,0.141,0.145,0.056,0.085,0.033,0.072,0.094,0.089,0.22,0.772,0.557,0.31,0.635,0.473,0.166,0.38,0.248,0.126,0.247,0.834,0.474,0.437,0.645,0.547,0.508,0.092,0.389,0.388,0.37,0.369,0.289,0.257,0.271,0.386,0.36,0.366
2,0.301,0.051,0.043,0.111,0.108,0.038,0.091,0.036,0.085,0.068,0.054,0.288,0.781,0.494,0.28,0.624,0.433,0.144,0.324,0.216,0.132,0.276,0.754,0.443,0.444,0.667,0.49,0.611,0.258,0.442,0.665,0.559,0.565,0.29,0.3,0.299,0.517,0.514,0.516
3,0.329,0.043,0.049,0.11,0.11,0.068,0.083,0.043,0.068,0.088,0.074,0.219,0.754,0.536,0.292,0.657,0.443,0.151,0.342,0.246,0.15,0.233,0.776,0.472,0.442,0.543,0.561,0.61,0.119,0.355,0.567,0.551,0.546,0.427,0.4,0.403,0.446,0.41,0.412
4,0.329,0.049,0.049,0.154,0.158,0.068,0.094,0.043,0.06,0.09,0.086,0.196,0.768,0.572,0.337,0.64,0.483,0.158,0.346,0.235,0.115,0.209,0.851,0.503,0.457,0.62,0.5,0.489,0.093,0.327,0.602,0.476,0.481,0.345,0.293,0.302,0.402,0.384,0.386
5,0.376,0.034,0.034,0.121,0.11,0.047,0.102,0.048,0.075,0.088,0.085,0.155,0.751,0.597,0.324,0.66,0.461,0.185,0.371,0.275,0.137,0.214,0.861,0.482,0.499,0.519,0.354,0.498,0.162,0.324,0.768,0.615,0.619,0.352,0.31,0.321,0.368,0.361,0.362
6,0.382,0.037,0.047,0.119,0.132,0.066,0.119,0.039,0.079,0.083,0.1,0.171,0.763,0.592,0.329,0.646,0.461,0.186,0.396,0.264,0.132,0.25,0.872,0.458,0.47,0.565,0.4,0.5,0.258,0.387,0.639,0.549,0.552,0.265,0.307,0.308,0.452,0.419,0.42
7,0.365,0.034,0.034,0.107,0.107,0.061,0.169,0.03,0.076,0.086,0.077,0.197,0.744,0.547,0.351,0.668,0.439,0.152,0.349,0.197,0.136,0.288,0.779,0.415,0.436,0.599,0.374,0.69,0.671,0.431,0.833,0.741,0.74,0.337,0.294,0.298,0.687,0.706,0.708
8,0.354,0.049,0.048,0.106,0.105,0.033,0.083,0.039,0.094,0.08,0.075,0.204,0.757,0.553,0.282,0.653,0.471,0.183,0.416,0.271,0.166,0.321,0.806,0.425,0.44,0.639,0.415,0.613,0.214,0.492,0.652,0.552,0.556,0.256,0.256,0.259,0.482,0.5,0.506
9,0.331,0.047,0.045,0.177,0.189,0.074,0.097,0.033,0.064,0.094,0.09,0.177,0.757,0.581,0.347,0.653,0.508,0.169,0.371,0.234,0.129,0.21,0.847,0.494,0.456,0.621,0.438,0.551,0.144,0.322,0.629,0.545,0.543,0.433,0.379,0.383,0.527,0.501,0.501
10,0.363,0.053,0.052,0.165,0.172,0.061,0.092,0.031,0.07,0.102,0.095,0.209,0.728,0.52,0.249,0.686,0.498,0.174,0.388,0.271,0.14,0.228,0.721,0.315,0.448,0.603,0.5,0.517,0.11,0.332,0.619,0.507,0.51,0.478,0.399,0.404,0.469,0.453,0.454
11,0.342,0.04,0.04,0.144,0.126,0.09,0.11,0.036,0.072,0.092,0.097,0.198,0.775,0.577,0.342,0.633,0.471,0.162,0.396,0.235,0.108,0.234,0.868,0.499,0.409,0.778,0.317,0.46,0.19,0.37,0.693,0.504,0.502,0.355,0.298,0.3,0.543,0.451,0.455
12,0.31,0.043,0.042,0.132,0.121,0.081,0.102,0.043,0.053,0.082,0.071,0.232,0.781,0.55,0.342,0.625,0.403,0.157,0.344,0.208,0.133,0.197,0.837,0.596,0.456,0.643,0.421,0.639,0.19,0.315,0.582,0.396,0.401,0.31,0.219,0.221,0.302,0.237,0.238
13,0.342,0.042,0.041,0.138,0.153,0.062,0.117,0.044,0.051,0.096,0.094,0.224,0.799,0.576,0.351,0.602,0.449,0.153,0.313,0.225,0.117,0.133,0.911,0.521,0.489,0.523,0.519,0.52,0.16,0.221,0.711,0.584,0.59,0.432,0.355,0.368,0.458,0.419,0.421
14,0.359,0.05,0.046,0.149,0.153,0.079,0.125,0.031,0.064,0.096,0.096,0.197,0.776,0.58,0.346,0.631,0.505,0.166,0.363,0.234,0.122,0.217,0.874,0.436,0.457,0.614,0.471,0.521,0.269,0.344,0.681,0.548,0.55,0.41,0.313,0.322,0.515,0.502,0.498
15,0.362,0.051,0.045,0.129,0.129,0.065,0.121,0.024,0.08,0.097,0.087,0.185,0.772,0.587,0.346,0.635,0.491,0.185,0.37,0.241,0.137,0.241,0.879,0.458,0.5,0.524,0.495,0.568,0.388,0.38,0.646,0.551,0.556,0.358,0.298,0.305,0.407,0.384,0.387
