,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.316,0.05,0.043,0.142,0.127,0.07,0.09,0.047,0.058,0.083,0.083,0.185,0.723,0.539,0.313,0.691,0.459,0.19,0.401,0.227,0.127,0.243,0.74,0.486,0.474,0.584,0.419,0.559,0.1,0.352,0.707,0.593,0.594,0.333,0.293,0.302,0.483,0.44,0.438
1,0.343,0.051,0.048,0.149,0.156,0.075,0.137,0.042,0.047,0.087,0.075,0.248,0.751,0.506,0.304,0.66,0.403,0.158,0.352,0.208,0.128,0.196,0.728,0.417,0.449,0.703,0.446,0.615,0.372,0.297,0.705,0.536,0.542,0.324,0.279,0.28,0.63,0.596,0.595
2,0.407,0.042,0.031,0.099,0.099,0.092,0.234,0.046,0.08,0.052,0.061,0.195,0.781,0.592,0.421,0.624,0.408,0.164,0.346,0.173,0.123,0.265,0.9,0.463,0.474,0.604,0.369,0.711,0.955,0.425,0.613,0.534,0.533,0.202,0.167,0.17,0.588,0.554,0.554
3,0.336,0.05,0.05,0.134,0.134,0.067,0.134,0.022,0.067,0.092,0.1,0.246,0.76,0.515,0.313,0.65,0.47,0.156,0.38,0.202,0.134,0.246,0.751,0.381,0.411,0.718,0.446,0.663,0.456,0.378,0.638,0.407,0.428,0.378,0.308,0.313,0.285,0.255,0.255
4,0.427,0.04,0.048,0.134,0.133,0.062,0.213,0.054,0.062,0.079,0.076,0.186,0.781,0.595,0.382,0.624,0.419,0.186,0.391,0.214,0.125,0.178,0.905,0.403,0.476,0.575,0.411,0.584,0.623,0.285,0.775,0.56,0.569,0.324,0.202,0.208,0.394,0.378,0.377
5,0.34,0.04,0.025,0.144,0.143,0.074,0.125,0.036,0.057,0.096,0.091,0.25,0.787,0.536,0.322,0.617,0.447,0.144,0.322,0.215,0.107,0.197,0.824,0.441,0.447,0.743,0.304,0.498,0.248,0.319,0.773,0.684,0.682,0.378,0.339,0.343,0.432,0.455,0.448
6,0.416,0.046,0.059,0.125,0.145,0.062,0.188,0.042,0.066,0.066,0.088,0.145,0.748,0.602,0.374,0.664,0.477,0.187,0.416,0.228,0.145,0.27,0.861,0.392,0.45,0.556,0.505,0.636,0.663,0.407,0.604,0.376,0.394,0.221,0.213,0.219,0.327,0.301,0.304
7,0.372,0.033,0.047,0.123,0.123,0.056,0.161,0.035,0.081,0.074,0.077,0.197,0.766,0.573,0.363,0.643,0.442,0.188,0.38,0.211,0.156,0.311,0.845,0.457,0.495,0.5,0.426,0.739,0.681,0.484,0.557,0.486,0.484,0.219,0.197,0.202,0.358,0.371,0.378
8,0.318,0.051,0.051,0.136,0.136,0.068,0.116,0.045,0.068,0.094,0.101,0.272,0.772,0.501,0.298,0.635,0.454,0.16,0.364,0.204,0.113,0.228,0.749,0.403,0.44,0.569,0.56,0.554,0.158,0.359,0.66,0.406,0.418,0.346,0.314,0.317,0.291,0.257,0.256
9,0.33,0.057,0.057,0.141,0.157,0.063,0.11,0.031,0.063,0.085,0.085,0.204,0.738,0.534,0.314,0.675,0.534,0.188,0.44,0.22,0.126,0.252,0.75,0.382,0.427,0.676,0.449,0.573,0.223,0.373,0.772,0.544,0.56,0.346,0.278,0.285,0.292,0.247,0.249
