,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.373,0.056,0.047,0.149,0.138,0.08,0.124,0.054,0.066,0.105,0.097,0.188,0.763,0.577,0.332,0.646,0.429,0.189,0.426,0.251,0.16,0.27,0.829,0.49,0.444,0.59,0.387,0.629,0.123,0.418,0.297,0.298,0.299,0.188,0.183,0.183,0.327,0.236,0.238
1,0.337,0.06,0.051,0.168,0.156,0.072,0.156,0.036,0.049,0.076,0.086,0.287,0.779,0.492,0.312,0.627,0.437,0.156,0.384,0.181,0.132,0.229,0.729,0.357,0.406,0.58,0.514,0.72,0.386,0.365,0.445,0.447,0.447,0.204,0.187,0.188,0.271,0.23,0.232
2,0.345,0.056,0.046,0.127,0.114,0.064,0.127,0.049,0.074,0.07,0.077,0.176,0.716,0.54,0.323,0.698,0.476,0.177,0.398,0.219,0.172,0.315,0.719,0.412,0.445,0.559,0.432,0.776,0.245,0.451,0.583,0.528,0.532,0.232,0.227,0.235,0.382,0.379,0.378
3,0.33,0.022,0.05,0.116,0.107,0.077,0.151,0.031,0.053,0.085,0.07,0.298,0.806,0.521,0.346,0.592,0.359,0.125,0.311,0.181,0.142,0.229,0.817,0.546,0.402,0.55,0.439,0.776,0.486,0.387,0.468,0.451,0.447,0.208,0.196,0.197,0.28,0.276,0.277
4,0.353,0.045,0.054,0.12,0.12,0.064,0.141,0.044,0.076,0.08,0.068,0.246,0.776,0.53,0.318,0.631,0.436,0.17,0.378,0.215,0.158,0.297,0.78,0.408,0.45,0.503,0.485,0.726,0.313,0.471,0.622,0.518,0.52,0.202,0.202,0.21,0.489,0.421,0.421
5,0.317,0.057,0.057,0.136,0.131,0.05,0.107,0.05,0.066,0.112,0.102,0.27,0.764,0.503,0.292,0.645,0.453,0.186,0.418,0.212,0.151,0.282,0.724,0.411,0.445,0.546,0.471,0.704,0.064,0.437,0.463,0.482,0.488,0.234,0.231,0.232,0.562,0.539,0.539
6,0.39,0.067,0.053,0.131,0.111,0.056,0.167,0.056,0.093,0.093,0.083,0.149,0.743,0.595,0.372,0.669,0.465,0.186,0.446,0.223,0.186,0.334,0.825,0.439,0.417,0.59,0.458,0.824,0.287,0.499,0.595,0.569,0.574,0.124,0.186,0.184,0.416,0.336,0.334
7,0.381,0.037,0.044,0.14,0.14,0.083,0.167,0.061,0.045,0.081,0.083,0.245,0.806,0.561,0.353,0.592,0.363,0.132,0.301,0.221,0.115,0.185,0.88,0.515,0.439,0.407,0.633,0.514,0.23,0.312,0.378,0.403,0.403,0.186,0.171,0.18,0.432,0.411,0.412
8,0.338,0.072,0.063,0.148,0.128,0.059,0.108,0.051,0.051,0.091,0.089,0.281,0.785,0.504,0.276,0.62,0.366,0.16,0.389,0.23,0.141,0.217,0.755,0.459,0.411,0.639,0.553,0.606,0.108,0.35,0.444,0.486,0.485,0.313,0.297,0.301,0.437,0.439,0.435
9,0.365,0.044,0.041,0.117,0.111,0.065,0.183,0.046,0.078,0.074,0.067,0.254,0.79,0.537,0.357,0.613,0.424,0.176,0.372,0.182,0.157,0.287,0.813,0.41,0.473,0.467,0.434,0.853,0.45,0.468,0.846,0.661,0.67,0.176,0.17,0.175,0.495,0.473,0.472
10,0.39,0.05,0.06,0.119,0.123,0.084,0.211,0.07,0.061,0.055,0.073,0.211,0.793,0.582,0.407,0.61,0.383,0.147,0.336,0.182,0.127,0.211,0.886,0.514,0.437,0.433,0.724,0.69,0.333,0.346,0.331,0.284,0.286,0.177,0.134,0.14,0.233,0.223,0.221
