,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.357,0.04,0.046,0.085,0.085,0.05,0.117,0.04,0.106,0.065,0.057,0.201,0.772,0.579,0.339,0.636,0.474,0.177,0.388,0.241,0.152,0.367,0.828,0.47,0.456,0.582,0.417,0.631,0.393,0.577,0.455,0.396,0.398,0.183,0.175,0.18,0.45,0.383,0.386
1,0.315,0.044,0.035,0.105,0.101,0.07,0.094,0.033,0.07,0.051,0.062,0.259,0.8,0.543,0.323,0.6,0.396,0.141,0.316,0.227,0.13,0.265,0.823,0.578,0.446,0.738,0.38,0.573,0.365,0.442,0.521,0.551,0.553,0.279,0.269,0.277,0.663,0.623,0.624
2,0.368,0.042,0.039,0.074,0.07,0.051,0.124,0.037,0.115,0.06,0.065,0.184,0.768,0.584,0.341,0.64,0.446,0.189,0.41,0.244,0.147,0.368,0.83,0.484,0.461,0.566,0.379,0.602,0.509,0.575,0.758,0.622,0.624,0.193,0.194,0.2,0.497,0.437,0.44
3,0.325,0.051,0.043,0.127,0.108,0.095,0.122,0.032,0.073,0.081,0.085,0.214,0.753,0.55,0.347,0.658,0.504,0.172,0.401,0.204,0.14,0.293,0.761,0.446,0.429,0.669,0.409,0.686,0.358,0.445,0.507,0.428,0.434,0.183,0.216,0.219,0.341,0.315,0.313
4,0.35,0.063,0.068,0.147,0.147,0.083,0.115,0.047,0.055,0.085,0.079,0.215,0.778,0.589,0.354,0.628,0.427,0.168,0.394,0.235,0.113,0.175,0.854,0.562,0.426,0.661,0.59,0.481,0.178,0.279,0.47,0.388,0.393,0.244,0.24,0.239,0.33,0.307,0.309
5,0.37,0.042,0.049,0.127,0.12,0.092,0.173,0.026,0.081,0.073,0.077,0.15,0.753,0.605,0.406,0.658,0.47,0.185,0.406,0.199,0.116,0.289,0.836,0.5,0.456,0.622,0.396,0.583,0.859,0.439,0.485,0.398,0.399,0.213,0.192,0.187,0.338,0.303,0.294
6,0.357,0.043,0.056,0.11,0.117,0.098,0.185,0.049,0.073,0.058,0.068,0.259,0.819,0.574,0.402,0.574,0.387,0.14,0.353,0.172,0.11,0.274,0.91,0.566,0.397,0.7,0.505,0.64,0.495,0.477,0.411,0.343,0.355,0.184,0.148,0.154,0.22,0.21,0.215
7,0.344,0.044,0.049,0.098,0.108,0.059,0.128,0.029,0.099,0.057,0.063,0.226,0.786,0.56,0.344,0.619,0.462,0.177,0.383,0.216,0.128,0.344,0.823,0.468,0.462,0.61,0.431,0.593,0.589,0.556,0.567,0.501,0.504,0.212,0.216,0.217,0.536,0.517,0.521
8,0.384,0.04,0.044,0.082,0.088,0.048,0.15,0.042,0.097,0.063,0.05,0.197,0.779,0.586,0.35,0.627,0.443,0.174,0.386,0.236,0.132,0.336,0.851,0.456,0.451,0.626,0.385,0.559,0.55,0.536,0.611,0.515,0.517,0.151,0.148,0.154,0.431,0.374,0.378
9,0.302,0.049,0.059,0.109,0.103,0.096,0.11,0.032,0.08,0.054,0.059,0.2,0.75,0.551,0.359,0.662,0.5,0.161,0.379,0.193,0.125,0.314,0.757,0.498,0.425,0.627,0.535,0.648,0.431,0.474,0.471,0.383,0.391,0.201,0.202,0.207,0.385,0.309,0.307
