,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.32,0.06,0.048,0.113,0.094,0.038,0.078,0.048,0.059,0.059,0.081,0.254,0.743,0.49,0.249,0.669,0.411,0.194,0.417,0.245,0.125,0.219,0.696,0.418,0.465,0.617,0.439,0.51,0.148,0.327,0.422,0.411,0.414,0.307,0.266,0.286,0.322,0.319,0.321
1,0.355,0.063,0.071,0.13,0.128,0.05,0.099,0.059,0.079,0.071,0.071,0.187,0.759,0.572,0.315,0.651,0.436,0.178,0.424,0.256,0.148,0.286,0.836,0.498,0.42,0.656,0.558,0.578,0.211,0.439,0.581,0.466,0.482,0.281,0.244,0.267,0.426,0.365,0.369
2,0.36,0.06,0.071,0.127,0.144,0.056,0.118,0.047,0.056,0.076,0.062,0.242,0.775,0.546,0.305,0.632,0.379,0.145,0.374,0.243,0.118,0.234,0.822,0.493,0.388,0.712,0.618,0.486,0.352,0.37,0.382,0.339,0.351,0.211,0.197,0.204,0.19,0.2,0.2
3,0.322,0.062,0.064,0.11,0.128,0.055,0.086,0.05,0.051,0.07,0.064,0.284,0.778,0.501,0.266,0.628,0.376,0.145,0.365,0.237,0.108,0.211,0.759,0.479,0.397,0.719,0.589,0.456,0.173,0.336,0.322,0.276,0.287,0.226,0.203,0.214,0.176,0.167,0.168
4,0.379,0.077,0.086,0.152,0.163,0.049,0.091,0.053,0.069,0.094,0.079,0.158,0.715,0.56,0.272,0.699,0.433,0.204,0.506,0.288,0.155,0.298,0.762,0.418,0.403,0.697,0.558,0.538,0.139,0.426,0.264,0.242,0.242,0.167,0.15,0.161,0.246,0.219,0.225
5,0.388,0.066,0.07,0.122,0.131,0.048,0.12,0.04,0.074,0.084,0.067,0.169,0.716,0.549,0.28,0.698,0.422,0.176,0.437,0.27,0.145,0.3,0.749,0.382,0.403,0.675,0.557,0.537,0.413,0.43,0.426,0.37,0.376,0.179,0.172,0.185,0.409,0.364,0.372
6,0.354,0.07,0.075,0.14,0.141,0.05,0.09,0.046,0.064,0.091,0.078,0.196,0.735,0.541,0.278,0.678,0.417,0.189,0.461,0.264,0.144,0.283,0.759,0.448,0.41,0.711,0.525,0.545,0.166,0.417,0.471,0.382,0.391,0.248,0.222,0.234,0.566,0.52,0.521
7,0.367,0.057,0.057,0.143,0.143,0.054,0.143,0.045,0.045,0.096,0.091,0.268,0.779,0.511,0.288,0.627,0.405,0.152,0.367,0.224,0.098,0.215,0.775,0.365,0.414,0.75,0.487,0.438,0.356,0.343,0.623,0.532,0.536,0.244,0.263,0.264,0.44,0.403,0.397
8,0.363,0.075,0.068,0.129,0.117,0.047,0.129,0.047,0.07,0.058,0.052,0.246,0.784,0.538,0.304,0.621,0.398,0.164,0.421,0.234,0.105,0.269,0.824,0.44,0.39,0.766,0.554,0.449,0.509,0.433,0.524,0.467,0.466,0.249,0.226,0.234,0.402,0.379,0.383
9,0.346,0.059,0.069,0.124,0.136,0.048,0.119,0.038,0.075,0.075,0.059,0.262,0.772,0.516,0.289,0.636,0.394,0.162,0.387,0.23,0.117,0.252,0.772,0.431,0.419,0.637,0.604,0.509,0.482,0.396,0.43,0.356,0.364,0.242,0.226,0.232,0.607,0.517,0.521
10,0.435,0.073,0.07,0.135,0.139,0.049,0.193,0.054,0.072,0.066,0.065,0.183,0.797,0.614,0.372,0.604,0.376,0.175,0.429,0.242,0.125,0.256,0.968,0.476,0.408,0.707,0.563,0.517,0.697,0.424,0.541,0.44,0.457,0.229,0.188,0.211,0.478,0.437,0.446
11,0.374,0.062,0.061,0.138,0.141,0.071,0.137,0.065,0.082,0.068,0.069,0.207,0.739,0.548,0.313,0.674,0.397,0.188,0.463,0.238,0.144,0.302,0.774,0.443,0.406,0.663,0.48,0.605,0.352,0.448,0.406,0.361,0.361,0.203,0.211,0.216,0.24,0.235,0.237
12,0.386,0.056,0.052,0.124,0.124,0.047,0.147,0.054,0.077,0.066,0.062,0.146,0.741,0.595,0.355,0.671,0.463,0.177,0.401,0.24,0.131,0.294,0.844,0.451,0.441,0.638,0.466,0.546,0.471,0.438,0.567,0.487,0.485,0.239,0.228,0.235,0.472,0.442,0.444
13,0.35,0.055,0.059,0.119,0.136,0.05,0.131,0.044,0.069,0.062,0.055,0.264,0.788,0.527,0.309,0.616,0.399,0.165,0.396,0.22,0.124,0.273,0.814,0.446,0.417,0.619,0.543,0.564,0.503,0.443,0.388,0.338,0.347,0.168,0.154,0.162,0.374,0.338,0.345
14,0.36,0.073,0.062,0.127,0.117,0.046,0.104,0.047,0.07,0.049,0.067,0.207,0.752,0.547,0.291,0.66,0.429,0.189,0.434,0.257,0.142,0.295,0.789,0.436,0.435,0.649,0.536,0.553,0.379,0.447,0.435,0.383,0.387,0.244,0.226,0.233,0.297,0.295,0.293
15,0.385,0.067,0.061,0.134,0.141,0.047,0.126,0.047,0.071,0.081,0.077,0.165,0.745,0.581,0.322,0.667,0.439,0.188,0.439,0.259,0.133,0.283,0.829,0.446,0.428,0.663,0.5,0.514,0.384,0.424,0.581,0.47,0.473,0.301,0.248,0.259,0.438,0.386,0.389
16,0.351,0.057,0.056,0.132,0.128,0.062,0.153,0.054,0.067,0.07,0.059,0.168,0.702,0.56,0.361,0.712,0.466,0.188,0.437,0.202,0.137,0.27,0.749,0.448,0.43,0.673,0.435,0.678,0.518,0.379,0.228,0.294,0.288,0.194,0.171,0.179,0.178,0.19,0.191
17,0.349,0.057,0.062,0.117,0.126,0.04,0.116,0.04,0.078,0.07,0.062,0.262,0.776,0.514,0.281,0.631,0.392,0.176,0.408,0.233,0.137,0.283,0.775,0.421,0.431,0.598,0.551,0.588,0.496,0.448,0.626,0.47,0.473,0.233,0.236,0.24,0.407,0.359,0.36
18,0.382,0.065,0.057,0.126,0.127,0.074,0.145,0.054,0.074,0.065,0.08,0.198,0.795,0.598,0.362,0.607,0.415,0.183,0.402,0.237,0.145,0.293,0.937,0.523,0.455,0.676,0.48,0.612,0.433,0.483,0.69,0.526,0.534,0.201,0.225,0.224,0.384,0.314,0.317
19,0.42,0.054,0.064,0.166,0.18,0.076,0.18,0.045,0.045,0.095,0.091,0.195,0.764,0.57,0.33,0.645,0.45,0.166,0.406,0.24,0.105,0.195,0.841,0.333,0.409,0.71,0.488,0.438,0.509,0.302,0.6,0.466,0.474,0.33,0.287,0.29,0.564,0.513,0.515
20,0.362,0.076,0.077,0.141,0.144,0.045,0.077,0.045,0.063,0.093,0.076,0.216,0.728,0.521,0.237,0.685,0.414,0.201,0.501,0.285,0.156,0.301,0.724,0.386,0.401,0.726,0.51,0.547,0.136,0.439,0.496,0.377,0.396,0.211,0.193,0.203,0.409,0.355,0.362
21,0.357,0.071,0.067,0.149,0.153,0.05,0.1,0.054,0.063,0.088,0.085,0.175,0.741,0.569,0.312,0.671,0.451,0.193,0.453,0.257,0.139,0.244,0.807,0.468,0.426,0.656,0.531,0.541,0.155,0.364,0.487,0.402,0.401,0.303,0.252,0.27,0.455,0.428,0.43
22,0.386,0.064,0.064,0.14,0.144,0.049,0.148,0.049,0.076,0.073,0.068,0.191,0.767,0.585,0.348,0.641,0.422,0.171,0.39,0.24,0.118,0.262,0.869,0.474,0.438,0.61,0.598,0.492,0.452,0.409,0.467,0.366,0.366,0.226,0.209,0.213,0.37,0.34,0.339
