,n-sto,ps-pi1,ps-pi2,or-pi1,or-pi2,sn-c,sn-sto,sto-li,cph-cph,sbal-ls1,sbal-ls2,tn-n,tn-gn,n-gn,sn-gn,zy-zy,go-go,en-en,ex-ex,n-sn,al-al,ch-ch,"n-gn,zy-zy","sto-gn,go-go","en-en,ex-ex","ex-en,en-en","ps-pi,ex-en","al-al,n-sn","ls-sto,sto-li","ch-ch,zy-zy",cl_lips,ca_lips,cb_lips,cl_eyes,ca_eyes,cb_eyes,cl_eyebrows,ca_eyebrows,cb_eyebrows
0,0.307,0.055,0.05,0.113,0.096,0.069,0.105,0.039,0.05,0.08,0.084,0.285,0.785,0.502,0.301,0.619,0.406,0.149,0.33,0.203,0.121,0.226,0.788,0.48,0.452,0.614,0.53,0.596,0.311,0.365,0.509,0.478,0.479,0.303,0.28,0.287,0.558,0.524,0.522
1,0.296,0.046,0.057,0.105,0.103,0.078,0.115,0.04,0.077,0.082,0.069,0.217,0.745,0.529,0.347,0.667,0.474,0.179,0.397,0.183,0.154,0.269,0.771,0.492,0.451,0.599,0.444,0.842,0.396,0.403,0.655,0.548,0.544,0.261,0.22,0.221,0.541,0.497,0.498
2,0.382,0.066,0.065,0.099,0.11,0.065,0.147,0.05,0.065,0.091,0.099,0.197,0.756,0.565,0.33,0.654,0.435,0.185,0.43,0.236,0.144,0.248,0.84,0.425,0.43,0.604,0.541,0.61,0.441,0.379,0.398,0.377,0.375,0.272,0.234,0.239,0.236,0.281,0.273
3,0.367,0.055,0.056,0.095,0.101,0.047,0.141,0.047,0.086,0.078,0.077,0.156,0.741,0.585,0.36,0.671,0.476,0.18,0.406,0.226,0.156,0.281,0.847,0.46,0.443,0.565,0.505,0.69,0.569,0.419,0.564,0.506,0.504,0.222,0.217,0.217,0.492,0.461,0.466
4,0.312,0.034,0.034,0.072,0.096,0.076,0.12,0.024,0.048,0.076,0.076,0.359,0.815,0.456,0.264,0.58,0.414,0.144,0.289,0.193,0.12,0.192,0.764,0.348,0.498,0.462,0.472,0.622,0.933,0.331,0.54,0.453,0.453,0.211,0.167,0.171,0.404,0.392,0.39
5,0.353,0.058,0.058,0.109,0.109,0.069,0.136,0.054,0.081,0.079,0.079,0.176,0.747,0.57,0.354,0.665,0.475,0.176,0.408,0.217,0.149,0.258,0.833,0.457,0.431,0.572,0.532,0.687,0.478,0.388,0.521,0.453,0.454,0.237,0.225,0.229,0.672,0.663,0.66
6,0.309,0.052,0.052,0.106,0.106,0.057,0.089,0.041,0.065,0.075,0.07,0.211,0.731,0.52,0.301,0.682,0.495,0.179,0.406,0.219,0.162,0.244,0.741,0.426,0.441,0.589,0.456,0.74,0.311,0.358,0.565,0.51,0.512,0.315,0.295,0.3,0.491,0.465,0.466
7,0.289,0.048,0.035,0.097,0.087,0.073,0.108,0.049,0.038,0.069,0.069,0.289,0.77,0.482,0.302,0.638,0.397,0.135,0.299,0.185,0.145,0.183,0.734,0.491,0.452,0.657,0.432,0.784,0.311,0.287,0.631,0.547,0.544,0.306,0.272,0.279,0.573,0.528,0.527
8,0.311,0.06,0.051,0.122,0.119,0.061,0.108,0.036,0.061,0.08,0.091,0.239,0.765,0.526,0.324,0.644,0.442,0.169,0.36,0.203,0.132,0.24,0.794,0.489,0.469,0.525,0.578,0.65,0.311,0.373,0.517,0.466,0.468,0.357,0.324,0.329,0.417,0.414,0.414
9,0.281,0.048,0.049,0.095,0.108,0.062,0.082,0.043,0.061,0.068,0.07,0.28,0.769,0.498,0.299,0.64,0.409,0.174,0.357,0.199,0.131,0.214,0.756,0.531,0.487,0.489,0.527,0.658,0.224,0.334,0.495,0.433,0.434,0.323,0.295,0.3,0.297,0.295,0.296
